VX View: Training Report (2018-09-16 to 2018-09-16)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",16/09/2018,03:10:55 PM,72:03,0:01,47:53,"3835","62","4","3042","25.7","81","17","68","221",107.80%,1:1,61:57,71:54,"31","240","53","16","0","6","92","1.3","3693","100","38","4","0","3","1","0",11:01,38:36,"0","0","0","0","1","0","6","4","2","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",16/09/2018,03:10:08 PM,120:25,0:00,38:20,"7003","66","0","2826","32.7","163","10","75","209",104.50%,1:1,106:14,120:25,"55","406","147","59","0","30","247","2.0","6110","410","240","190","52","13","8","2",24:15,35:08,"6","0","0","5","4","0","30","22","6","2","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",16/09/2018,03:16:48 PM,16:24,0:00,8:07,"1561","95","0","762","28.5","43","15","25","209",104.50%,2:3,16:23,16:23,"11","358","48","10","0","1","74","4.5","1264","171","82","44","0","2","1","0",4:18,7:21,"1","0","0","0","0","0","1","1","0","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",16/09/2018,03:12:31 PM,120:25,0:00,**,"6200","52","0",**,"29.8","93","1",**,"0",0.00%,**,119:10,0:00,"47","433","84","22","0","7","116","1.0","5969","191","19","17","4","3","0","1",0:00,0:00,"1","0","2","0","0","0","7","7","0","0","0","0",
"Lane, Jamie","AUCKLAND ACADEMY 2018",16/09/2018,03:17:05 PM,13:55,0:00,0:00,"1243","89","0","0","28.5","34","2","0","115",57.50%,2:3,13:55,13:56,"9","311","37","5","0","1","45","3.2","968","163","70","40","0","3","2","0",0:00,0:00,"2","0","0","0","0","0","1","1","0","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",16/09/2018,03:11:19 PM,120:25,0:00,29:20,"5336","48","0","1689","22.1","96","0","42","211",105.50%,1:1,112:07,120:25,"46","377","96","19","0","16","131","1.1","5199","125","12","0","0","1","0","0",26:46,26:13,"0","0","0","0","0","0","16","13","3","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",16/09/2018,03:09:49 PM,120:25,0:03,35:39,"7760","64","24","2660","35.6","148","11","65","214",107.00%,2:3,120:26,120:25,"56","474","147","51","0","20","230","1.9","6911","363","216","153","96","11","7","3",26:18,31:59,"5","1","1","4","0","1","20","15","5","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",16/09/2018,03:15:02 PM,120:25,0:00,94:05,"6406","58","3","5460","33.2","124","11","101","218",109.00%,1:1,110:12,120:25,"51","520","127","60","0","9","211","1.8","5728","288","175","147","67","9","8","3",8:39,54:12,"7","3","0","2","1","0","9","8","1","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",16/09/2018,03:12:06 PM,120:25,0:00,7:45,"5350","48","0","399","25.8","80","0","8","195",97.50%,1:1,112:15,120:25,"45","298","90","15","0","12","119","1.0","5070","182","97","1","0","6","0","0",12:36,6:52,"1","0","0","2","1","0","12","10","2","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",16/09/2018,03:19:49 PM,99:00,0:01,24:12,"6153","62","6","1948","36.9","121","2","51","213",106.50%,1:1,99:00,99:00,"45","451","134","35","0","20","197","2.0","5599","378","103","30","37","8","1","1",19:15,20:03,"3","2","0","2","2","1","20","18","2","0","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",16/09/2018,03:14:27 PM,89:12,0:00,40:41,"6234","71","0","3163","29.6","123","2","75","217",114.20%,2:3,87:36,89:10,"43","335","106","39","0","10","162","1.8","5491","555","118","69","2","8","2","0",10:54,34:34,"2","0","0","1","0","0","10","10","0","0","0","0",
"Prattley, Sam","AUCKLAND ACADEMY 2018",16/09/2018,03:10:30 PM,37:33,0:00,14:43,"2526","67","0","1036","22.5","70","0","31","214",107.00%,1:1,37:33,37:32,"20","202","55","14","0","8","77","2.0","2415","102","9","0","0","0","0","0",15:45,12:32,"1","1","0","0","0","0","8","8","0","0","0","0",
