VX View: Training Report (2018-10-27 to 2018-10-27)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",27/10/2018 2:07:44 PM,02:07:44 PM,73:42,0:01,39:30,"3916","61","4","2402","26.3","79","13","56","214",104.40%,1:1,64:29,73:42,"31","324","78","14","0","10","115","1.6","3751","87","62","15","0","3","1","0",16:10,30:58,"0","1","0","2","0","0","10","9","1","0","0","0",
"Choat, Adrian","AUCKLAND ACADEMY 2018",27/10/2018 2:15:43 PM,02:15:43 PM,90:19,0:00,24:38,"5124","63","0","1922","31.2","127","1","60","211",105.00%,2:3,81:29,90:19,"42","713","136","22","0","30","192","2.1","4751","246","101","25","2","5","1","0",21:26,20:55,"5","0","0","2","1","0","30","21","8","1","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",27/10/2018 2:29:31 PM,02:29:31 PM,51:13,0:00,27:34,"3073","60","0","1931","30.2","67","5","51","204",102.00%,1:1,51:14,51:14,"23","307","68","17","0","4","95","1.8","2741","163","97","56","16","5","3","2",13:33,26:06,"2","0","1","0","0","0","4","2","2","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",27/10/2018 2:23:36 PM,02:23:36 PM,128:10,0:00,49:05,"8279","69","0","3695","30.8","198","4","96","208",104.00%,1:1,119:30,128:10,"63","444","186","66","0","48","308","2.4","7425","529","271","51","2","20","4","0",31:14,41:34,"7","0","0","9","4","0","48","38","7","3","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",27/10/2018 2:29:07 PM,02:29:07 PM,49:40,0:00,21:15,"2933","59","0","1498","29.0","57","16","38","204",102.00%,2:3,49:40,49:40,"22","399","95","9","0","8","129","2.6","2823","63","30","16","1","1","2","0",12:33,19:32,"2","0","1","0","1","0","8","6","2","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",27/10/2018 2:15:37 PM,02:15:37 PM,127:34,0:00,6:42,"6199","52","0","473","32.7","89","2","9","199",99.50%,2:3,118:34,127:34,"49","316","82","24","0","25","136","1.1","5990","131","50","15","13","4","1","1",22:45,4:47,"2","1","0","0","0","1","25","21","4","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",27/10/2018 2:13:41 PM,02:13:41 PM,111:06,0:00,53:07,"5610","55","0","2888","24.7","118","0","67","206",103.00%,1:1,102:15,111:06,"46","289","98","15","0","15","131","1.2","5498","90","22","0","0","2","0","0",25:50,48:25,"1","1","0","0","0","0","15","8","6","1","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",27/10/2018 2:23:55 PM,02:23:55 PM,128:25,0:00,28:27,"8231","69","0","2396","31.6","174","11","55","214",107.00%,2:3,119:33,128:25,"60","492","150","52","0","11","232","1.8","7433","480","202","97","18","8","9","2",19:56,24:53,"4","0","1","2","2","0","11","10","0","0","1","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",27/10/2018 2:24:16 PM,02:24:16 PM,127:48,0:00,32:25,"7019","59","0","2129","31.6","150","15","52","214",107.00%,2:3,119:09,127:48,"56","540","147","56","0","18","238","1.9","6193","395","226","180","23","9","13","2",8:18,24:04,"7","3","0","4","3","3","18","16","2","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",27/10/2018 2:15:03 PM,02:15:03 PM,127:42,0:00,**,"7126","60","0",**,"22.9","92","0",**,"0",0.00%,**,118:33,0:00,"51","512","115","11","0","38","185","1.4","7078","45","2","0","0","0","0","0",0:00,0:00,"3","1","1","0","1","0","38","31","7","0","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",27/10/2018 2:22:09 PM,02:22:09 PM,128:09,0:00,14:07,"8435","71","0","1282","28.7","206","1","48","214",112.60%,1:1,119:30,128:08,"64","669","186","58","0","13","267","2.1","7708","599","107","21","0","9","1","0",30:24,32:34,"4","1","0","2","6","1","13","8","5","0","0","0",
