VX View: Training Report (2018-10-14 to 2018-10-14)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",14/10/2018,12:31:04 PM,85:03,0:00,58:29,"4790","63","0","3715","24.2","94","24","74","219",106.80%,2:3,75:38,85:07,"37","321","80","19","0","12","135","1.6","4577","189","24","0","0","3","0","0",15:35,48:43,"1","0","0","0","1","0","12","12","0","0","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",14/10/2018,12:42:25 PM,18:15,0:00,12:10,"1345","74","0","1011","26.2","32","1","24","206",103.00%,1:1,18:14,18:14,"10","281","26","9","0","2","39","2.1","1209","99","32","4","0","5","1","0",4:49,11:01,"2","0","0","0","0","1","2","1","1","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",14/10/2018,12:33:28 PM,82:37,0:01,30:29,"5392","73","7","2514","34.3","106","7","62","202",101.00%,1:1,73:47,82:38,"39","333","108","35","0","29","182","2.2","4532","454","259","90","52","12","5","1",21:04,27:58,"2","3","0","2","1","3","29","19","7","2","1","0",
"Fepuleai, Marco","AUCKLAND ACADEMY 2018",14/10/2018,12:39:34 PM,10:36,0:00,8:37,"726","68","0","578","22.4","19","0","13","203",101.50%,1:1,10:36,10:36,"5","170","10","3","0","3","16","1.5","697","21","8","0","0","1","0","0",2:07,7:15,"0","0","0","0","0","0","3","3","0","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",14/10/2018,12:32:32 PM,104:18,0:00,5:15,"5940","61","0","398","26.4","98","1","11","198",99.00%,2:3,96:50,104:18,"44","278","86","25","0","18","132","1.3","5749","152","29","11","0","3","1","0",24:39,3:56,"1","1","0","0","2","0","18","18","0","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",14/10/2018,12:31:35 PM,82:37,0:00,**,"4351","59","0",**,"25.8","87","2",**,"0",0.00%,**,73:31,0:00,"35","261","87","20","0","12","122","1.5","4134","150","57","10","0","0","2","0",0:00,0:00,"0","0","0","0","0","1","12","10","2","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",14/10/2018,12:33:36 PM,85:59,0:00,46:50,"6013","78","0","3697","31.5","132","11","86","217",108.50%,1:1,76:50,85:59,"43","482","125","40","0","11","189","2.2","5097","359","275","227","56","13","7","4",12:35,37:27,"0","1","0","5","2","0","11","7","4","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",14/10/2018,12:34:01 PM,104:18,0:00,45:55,"6362","67","3","3231","33.6","135","11","74","215",107.50%,1:1,95:08,104:18,"48","429","122","48","0","11","193","1.8","5280","515","348","164","54","18","8","3",16:33,31:16,"11","2","0","2","1","1","11","9","2","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",14/10/2018,12:31:49 PM,104:18,0:00,**,"5471","59","0",**,"25.4","85","0",**,"0",0.00%,**,92:29,0:00,"42","544","117","11","0","39","188","1.8","5423","44","2","1","0","0","0","0",0:00,0:00,"3","4","1","0","0","0","39","30","9","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",14/10/2018,12:32:19 PM,104:18,0:00,32:16,"6477","62","0","2495","30.5","136","2","54","210",105.00%,2:3,104:22,104:18,"48","416","128","35","0","28","195","1.9","5945","367","136","27","2","14","2","0",14:43,27:28,"4","0","0","1","1","1","28","23","4","1","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",14/10/2018,12:33:03 PM,104:18,0:00,9:37,"7509","75","0","842","29.1","166","1","28","209",110.00%,2:3,99:42,104:18,"53","381","143","51","0","18","214","2.0","6655","698","121","34","1","10","1","0",25:00,39:01,"3","0","0","0","0","2","18","14","4","0","0","0",
"Prattley, Sam","AUCKLAND ACADEMY 2018",14/10/2018,12:30:51 PM,72:58,0:00,36:42,"4490","66","0","2634","28.3","98","0","49","227",113.50%,2:3,67:43,73:00,"34","773","90","23","0","11","128","1.8","4300","162","26","1","0","3","0","0",13:53,13:07,"0","0","0","0","0","1","11","10","0","1","0","0",
"Rayasi, Salesi","AUCKLAND ACADEMY 2018",14/10/2018,12:33:15 PM,104:18,0:01,8:16,"6241","63","8","572","35.9","101","13","10","206",100.00%,2:3,99:26,104:18,"45","636","116","41","0","8","180","1.7","5261","334","305","222","112","18","6","6",7:07,4:45,"3","3","0","1","3","1","8","5","3","0","0","0",
"Reidler Kapa, Waimana","AUCKLAND ACADEMY 2018",14/10/2018,12:32:03 PM,82:37,0:00,**,"5031","68","0",**,"30.8","117","2",**,"0",0.00%,**,73:40,0:00,"39","314","101","30","0","13","148","1.8","4642","242","121","19","7","6","1","1",0:00,0:00,"1","0","0","1","0","0","13","11","1","1","0","0",
"Renata, Marcel","AUCKLAND ACADEMY 2018",14/10/2018,12:31:22 PM,89:10,0:03,25:23,"4681","58","25","1796","28.8","93","23","39","209",104.50%,2:3,80:05,89:10,"38","328","70","14","0","6","114","1.3","4526","121","7","27","0","0","1","0",20:50,22:47,"0","0","0","0","0","0","6","6","0","0","0","0",
"Ruru, Jonathan","AUCKLAND ACADEMY 2018",14/10/2018,12:32:48 PM,85:03,0:00,47:13,"6410","84","0","4119","31.7","140","5","98","213",106.50%,2:3,76:22,85:04,"44","288","133","46","0","13","199","2.3","5531","529","223","116","10","9","4","1",16:41,39:38,"2","3","0","3","0","0","13","11","2","0","0","0",
"Sosene, Mike","AUCKLAND ACADEMY 2018",14/10/2018,12:38:38 PM,16:09,0:00,4:27,"1132","70","0","336","21.6","33","0","11","209",104.50%,2:3,16:09,16:09,"9","296","21","9","0","7","38","2.4","1056","70","6","0","0","0","0","0",2:36,3:34,"0","0","0","0","0","0","7","6","1","0","0","0",
"Sotutu, Hoksins","AUCKLAND ACADEMY 2018",14/10/2018,12:40:14 PM,18:15,0:00,9:56,"1308","72","0","749","25.7","28","0","16","220",110.00%,2:3,18:14,18:14,"9","547","45","7","0","5","57","3.1","1147","116","43","2","0","5","0","0",4:01,8:07,"1","0","0","1","0","0","5","5","0","0","0","0",
"Trainor, Jordan","AUCKLAND ACADEMY 2018",14/10/2018,12:34:26 PM,104:18,0:01,25:13,"7619","75","11","2038","35.7","165","10","51","213",106.50%,2:3,101:31,104:18,"53","544","155","44","0","13","239","2.3","6860","358","196","118","77","13","6","3",15:41,16:53,"6","2","0","1","1","2","13","12","1","0","0","0",
Avg,**,**,**,76:48,0:00,21:24,"4805","68","3","1617","28.8","98","6","37","177.7",88.80%,**,71:04,62:37,"36","401","93","27","0","14","143","1.9","4348","262","117","56","20","7","2","1",11:28,18:02,"2","1","0","1","1","1","14","11","2","0","0","0",
Lowest,**,**,**,10:36,0:00,0:00,"726","58","0","0","21.6","19","0","0","0",0.00%,2:3,10:36,0:00,"5","170","10","3","0","2","16","1.3","697","21","2","0","0","0","0","0",0:00,0:00,"0","0","0","0","0","0","2","1","0","0","0","0",
Highest,**,**,**,104:18,0:03,58:29,"7619","84","25","4119","35.9","166","24","98","227",113.50%,1:1,104:22,104:18,"53","773","155","51","0","39","239","3.1","6860","698","348","227","112","18","8","6",25:00,48:43,"11","4","1","5","3","3","39","30","9","2","1","0",
