VX View: Training Report (2018-08-26 to 2018-08-26)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",26/08/2018,12:59:40 PM,80:14,0:00,47:06,"4031","57","0","2856","21.6","95","25","72","211",102.90%,2:3,70:38,80:15,"34","140","37","25","0","13","101","1.3","3931","94","5","0","0","1","0","0",17:48,36:13,"1","0","0","1","0","0","13","12","1","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",26/08/2018,03:05:58 PM,20:12,0:00,**,"975","49","0",**,"20.3","24","0",**,"0",0.00%,**,19:54,0:00,"9","237","17","6","0","3","30","1.5","955","20","0","0","0","0","0","0",0:00,0:00,"0","1","0","0","0","0","3","3","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",26/08/2018,03:02:13 PM,97:08,0:00,21:56,"6170","70","0","2237","26.7","160","2","54","202",101.00%,2:3,87:47,97:09,"48","471","137","43","0","22","204","2.1","5351","525","280","15","0","18","2","0",17:41,19:26,"2","0","1","3","1","1","22","19","3","0","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",26/08/2018,03:01:23 PM,88:49,0:00,37:19,"6262","79","0","3333","28.5","161","69","101","218",109.00%,1:1,79:12,88:49,"47","340","136","47","0","6","260","2.9","5607","506","106","43","0","8","1","0",20:08,31:51,"3","3","0","0","0","0","6","6","0","0","0","0",
"Gibson, Blake","AUCKLAND ACADEMY 2018",26/08/2018,02:59:34 PM,126:31,0:00,41:46,"5111","46","0","3115","26.3","128","1","90","221",110.50%,1:1,110:27,126:34,"50","389","126","32","0","20","184","1.4","4551","396","156","7","0","14","1","0",12:44,31:12,"1","0","1","1","0","0","20","14","6","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",26/08/2018,03:00:52 PM,90:49,0:00,7:49,"5044","62","0","715","27.4","97","1","21","205",102.50%,2:3,81:37,90:49,"39","194","72","22","0","11","109","1.2","4786","200","50","8","0","3","1","0",14:53,6:30,"1","0","0","1","1","0","11","11","0","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",26/08/2018,03:00:35 PM,120:45,0:00,34:51,"5044","51","0","2323","22.6","111","0","61","206",103.00%,2:3,99:41,120:44,"47","275","61","25","0","19","108","0.9","4932","101","10","0","0","1","0","0",33:59,30:24,"1","0","0","3","0","0","19","15","3","1","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",26/08/2018,03:02:44 PM,123:39,0:00,25:49,"6572","60","0","2130","28.9","152","5","47","215",107.50%,2:3,110:10,123:36,"54","204","108","58","0","10","184","1.5","6024","331","150","66","1","14","5","0",17:13,21:09,"1","1","0","2","1","1","10","8","2","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",26/08/2018,03:03:13 PM,122:34,0:00,10:42,"5366","54","0","691","32.8","108","16","20","206",103.00%,1:2,99:16,122:33,"48","361","79","42","0","14","151","1.2","4583","251","219","242","70","8","14","2",21:50,8:14,"1","1","0","2","0","2","14","11","1","1","1","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",26/08/2018,03:09:23 PM,18:40,0:00,4:54,"1075","58","0","369","23.5","25","0","9","203",101.50%,2:3,18:40,18:40,"9","141","29","12","0","1","42","2.2","964","93","18","0","0","1","0","0",4:16,4:27,"0","0","0","1","1","0","1","0","0","1","0","0",
