VX View: Training Report (2018-09-28 to 2018-09-28)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",28/09/2018,07:22:48 PM,30:37,0:00,18:13,"1719","56","2","1010","25.8","40","15","29","206",100.50%,1:1,30:37,30:38,"14","494","45","12","0","2","74","2.4","1618","80","18","2","0","0","1","0",8:48,13:40,"2","1","0","1","1","0","2","2","0","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",28/09/2018,07:23:49 PM,97:16,0:00,3:55,"2175","25","0","127","22.8","24","0","1","208",104.00%,1:1,86:04,97:16,"28","268","28","3","0","0","39","0.4","2120","52","4","0","0","0","0","0",1:59,2:19,"0","0","0","0","0","0","0","0","0","0","0","0",
"Choat, Adrian","AUCKLAND ACADEMY 2018",28/09/2018,07:22:24 PM,97:16,0:00,0:00,"1739","20","0","0","26.8","22","0","0","170",84.60%,1:1,85:50,97:16,"27","277","27","6","0","0","36","0.4","1670","38","27","4","0","3","0","0",0:00,0:00,"0","0","0","0","0","0","0","0","0","0","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",28/09/2018,06:19:36 PM,94:46,0:00,**,"6301","74","3",**,"33.6","154","12",**,"0",0.00%,**,84:34,0:00,"47","547","168","59","0","10","251","2.6","5291","488","298","161","61","18","8","4",0:00,0:00,"5","4","0","3","0","1","10","8","2","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",28/09/2018,06:23:25 PM,94:46,0:00,6:49,"5388","64","0","508","31.2","95","4","13","209",104.50%,2:3,84:22,94:46,"40","441","85","17","0","8","117","1.2","5101","121","83","60","23","6","2","2",10:31,5:20,"1","2","0","2","1","1","8","7","1","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",28/09/2018,06:28:01 PM,85:17,0:00,39:54,"4805","64","0","2800","27.6","103","2","68","204",102.00%,2:3,75:12,85:17,"38","364","102","26","0","10","143","1.7","4575","156","65","10","0","3","2","0",19:56,37:07,"3","1","1","2","1","1","10","10","0","0","0","0",
"Lindenmuth, Ezi","AUCKLAND ACADEMY 2018",28/09/2018,07:23:49 PM,9:09,0:00,9:00,"380","42","0","374","14.0","9","0","9","215",107.50%,1:1,9:09,9:08,"4","344","11","0","0","5","16","1.8","379","0","0","0","0","0","0","0",0:13,6:43,"2","0","0","0","0","0","5","4","1","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",28/09/2018,06:24:54 PM,94:46,0:00,30:12,"6569","78","0","2844","32.3","160","6","84","217",108.50%,2:3,84:36,94:46,"48","534","152","48","0","14","222","2.3","5767","473","215","86","28","14","5","1",17:42,23:13,"3","1","0","5","4","0","14","11","3","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",28/09/2018,06:24:43 PM,94:46,0:00,29:08,"5809","68","0","2248","27.3","130","2","59","208",104.00%,1:1,84:49,94:53,"44","388","124","23","0","10","161","1.7","5498","223","65","22","0","2","2","0",16:17,26:54,"2","0","0","0","1","0","10","9","1","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",28/09/2018,06:20:55 PM,94:46,0:00,**,"6066","72","0",**,"29.1","145","3",**,"0",0.00%,**,84:29,0:00,"46","738","160","34","0","12","211","2.2","5508","401","117","40","1","5","3","0",0:00,0:00,"4","2","0","3","0","0","12","12","0","0","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",28/09/2018,06:20:23 PM,94:46,0:00,27:23,"6673","79","0","2618","30.3","148","5","73","214",112.60%,1:1,84:21,87:27,"48","297","131","44","0","10","191","2.0","5260","571","141","50","2","10","4","1",11:19,25:36,"2","1","0","5","1","1","10","6","3","1","0","0",
"Prattley, Sam","AUCKLAND ACADEMY 2018",28/09/2018,06:20:23 PM,87:54,0:00,42:58,"5287","68","0","2908","25.7","132","1","81","228",114.00%,1:1,77:11,87:43,"42","412","116","22","0","12","151","1.7","4997","210","75","5","0","6","1","0",13:13,20:15,"4","1","0","2","0","0","12","11","1","0","0","0",
"Rayasi, Salesi","AUCKLAND ACADEMY 2018",28/09/2018,06:23:01 PM,94:46,0:00,7:00,"5779","68","0","638","31.7","115","6","15","205",99.50%,2:3,84:30,94:46,"43","649","134","29","0","21","194","2.0","5143","349","204","72","11","13","5","1",10:26,2:24,"1","1","2","1","1","2","21","17","2","1","1","0",
"Reidler Kapa, Waimana","AUCKLAND ACADEMY 2018",28/09/2018,06:28:27 PM,30:37,0:00,14:40,"1691","55","0","911","24.7","37","0","17","214",107.00%,1:1,30:37,30:38,"13","412","38","4","0","3","48","1.6","1605","60","26","0","0","2","0","0",4:42,11:24,"2","0","1","0","0","0","3","3","0","0","0","0",
"Renata, Marcel","AUCKLAND ACADEMY 2018",28/09/2018,06:28:59 PM,79:38,0:01,**,"4217","61","3",**,"25.9","75","23",**,"0",0.00%,**,68:55,0:00,"33","304","82","15","0","27","168","2.1","4037","96","80","3","0","5","0","0",0:00,0:00,"0","0","0","0","0","0","27","21","5","1","0","0",
"Ruru, Jonathan","AUCKLAND ACADEMY 2018",28/09/2018,06:27:08 PM,94:46,0:00,32:51,"7223","86","0","3359","32.4","172","2","99","215",107.50%,2:3,84:20,94:49,"51","383","159","63","0","6","232","2.4","6445","519","204","44","10","11","2","0",17:09,26:53,"2","1","0","2","0","0","6","6","0","0","0","0",
