VX View: Training Report (2018-10-10 to 2018-10-10)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Adams, Jarred","AUCKLAND ACADEMY 2018",10/10/2018,06:16:59 PM,70:10,0:00,32:53,"4169","67","0","2503","26.6","98","0","66","222",111.00%,1:2,62:37,70:12,"33","486","115","18","0","10","144","2.0","4033","120","15","1","0","2","0","0",14:26,23:27,"1","0","0","1","0","0","10","8","2","0","0","0",
"Choat, Adrian","AUCKLAND ACADEMY 2018",10/10/2018,06:07:33 PM,63:29,0:00,17:24,"4280","68","0","1380","28.4","108","0","54","211",105.00%,1:1,63:18,61:30,"32","480","156","23","0","29","213","3.4","3861","216","58","2","0","4","0","0",15:29,15:28,"5","4","1","0","1","0","29","25","4","0","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",10/10/2018,06:19:40 PM,31:05,0:00,17:11,"2305","74","0","1351","29.1","63","3","40","205",102.50%,2:3,31:05,31:06,"17","369","56","17","0","7","84","2.7","2058","144","61","40","2","5","3","0",6:34,16:00,"0","0","0","1","1","0","7","7","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",10/10/2018,06:12:41 PM,93:09,0:00,66:51,"6602","73","0","5038","29.6","158","2","128","222",111.00%,2:3,90:32,93:10,"48","603","162","40","0","22","227","2.4","5893","464","197","43","6","16","2","0",13:24,45:05,"4","2","0","3","1","1","22","19","3","0","0","0",
"Fatialofa, Michael","AUCKLAND ACADEMY 2018",10/10/2018,06:06:21 PM,43:53,0:00,**,"2821","64","1",**,"26.0","63","18",**,"0",0.00%,**,43:53,0:00,"21","285","54","11","0","11","94","2.1","2669","116","35","1","0","3","0","0",0:00,0:00,"1","0","0","0","1","0","11","8","3","0","0","0",
"Fepuleai, Marco","AUCKLAND ACADEMY 2018",10/10/2018,06:04:17 PM,88:47,0:00,38:06,"5044","62","0","2483","26.7","139","0","83","217",108.50%,2:3,81:23,88:46,"42","493","142","33","0","14","193","2.2","4941","83","19","1","0","2","0","0",18:57,28:07,"3","0","0","0","0","0","14","12","2","0","0","0",
"Kirkpatrick, Dan","AUCKLAND ACADEMY 2018",10/10/2018,06:19:10 PM,18:44,0:00,28:44,"1551","83","0",**,"23.9","37","0","17","209",104.50%,2:3,18:44,30:14,"11","225","49","8","0","1","58","3.1","1436","101","14","0","0","1","0","0",0:58,27:56,"1","0","0","0","0","0","1","0","1","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",10/10/2018,06:05:11 PM,97:46,0:00,46:34,"5866","60","0","3089","24.3","152","0","100","206",103.00%,2:3,97:46,97:46,"47","351","140","25","0","12","185","1.9","5752","98","16","0","0","1","0","0",27:11,41:12,"3","0","0","0","0","0","12","11","1","0","0","0",
"Liaana, Desma","AUCKLAND ACADEMY 2018",10/10/2018,06:18:23 PM,21:47,0:00,4:57,"1794","82","0","477","32.8","47","1","17","214",107.00%,2:3,21:47,21:47,"13","217","39","7","0","7","55","2.5","1708","50","16","11","9","1","0","1",3:48,3:27,"0","0","0","0","0","1","7","4","3","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",10/10/2018,06:13:25 PM,73:01,0:00,14:28,"5236","74","0","1112","28.7","131","3","33","208",104.00%,1:1,70:55,73:00,"38","552","152","37","0","9","205","2.8","4738","322","121","54","0","8","3","0",15:37,12:47,"2","2","0","2","0","0","9","7","2","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",10/10/2018,06:14:20 PM,97:46,0:00,61:40,"6314","65","2","4183","33.5","128","12","90","214",107.00%,2:3,97:46,97:46,"46","497","124","54","0","4","195","2.0","5351","408","305","170","79","18","6","6",24:03,50:08,"6","0","1","1","0","0","4","2","2","0","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",10/10/2018,06:10:57 PM,211:10,0:00,3:34,"7673","58","0",**,"26.9","148","1","17","196",103.20%,2:3,131:48,129:54,"75","278","143","44","0","7","198","0.9","7051","576","43","3","0","5","1","0",16:10,20:44,"1","0","0","2","1","0","7","7","0","0","0","0",
"Rayasi, Salesi","AUCKLAND ACADEMY 2018",10/10/2018,06:12:06 PM,97:46,0:00,93:46,"6498","66","3","6232","34.1","123","10","118","218",105.80%,1:1,97:49,97:46,"46","604","124","41","0","7","184","1.9","5823","237","242","136","59","7","8","2",6:35,74:10,"2","3","0","4","2","0","7","5","0","2","0","0",
"Reidler Kapa, Waimana","AUCKLAND ACADEMY 2018",10/10/2018,06:08:04 PM,97:46,0:00,**,"6350","71","0",**,"25.7","158","1",**,"0",0.00%,**,89:52,0:00,"48","421","168","37","0","10","218","2.2","5880","374","92","4","0","8","1","0",0:00,0:00,"12","3","0","1","0","0","10","10","0","0","0","0",
"Ruru, Jonathan","AUCKLAND ACADEMY 2018",10/10/2018,06:10:21 PM,74:56,0:00,37:55,"6047","83","0","3308","29.1","156","2","100","215",107.50%,2:3,73:06,74:56,"43","432","147","49","0","5","204","2.7","5475","371","152","48","1","9","2","0",16:54,31:55,"2","0","0","1","2","0","5","5","0","0","0","0",
