VX View: Training Report (2018-09-22 to 2018-09-22)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",22/09/2018,05:50:23 PM,95:37,0:00,56:04,"5611","60","0","3375","24.7","114","27","78","215",104.90%,1:1,93:32,95:37,"43","411","107","22","0","18","175","1.8","5367","157","87","0","0","8","0","0",19:13,44:22,"2","0","0","1","0","0","18","14","4","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",22/09/2018,05:43:22 PM,17:23,0:00,12:07,"1047","60","0","756","26.4","28","0","18","211",105.50%,1:1,17:23,17:27,"8","439","39","11","0","3","54","3.1","954","61","30","1","0","3","0","0",2:54,10:04,"4","0","0","0","1","1","3","3","0","0","0","0",
"Dunshea, Lyndon","AUCKLAND ACADEMY 2018",22/09/2018,05:42:35 PM,7:26,0:00,0:00,"596","80","0","0","25.1","18","0","0","102",51.00%,1:2,7:26,7:26,"4","273","19","4","0","2","26","3.5","494","63","35","3","0","3","0","0",0:00,0:00,"1","0","0","0","0","1","2","2","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",22/09/2018,05:45:45 PM,101:34,0:00,30:37,"6897","69","0","2442","27.4","173","4","85","214",107.00%,2:3,100:36,101:34,"52","524","160","64","0","32","262","2.6","6144","460","250","42","0","20","4","0",20:28,26:28,"9","2","2","1","2","1","32","27","5","0","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",22/09/2018,05:42:02 PM,18:50,0:00,5:08,"1465","78","0","457","26.1","37","14","13","202",101.00%,1:1,18:50,18:50,"10","448","58","7","0","2","81","4.3","1332","107","24","2","0","3","0","0",5:17,4:49,"2","1","1","0","1","0","2","2","0","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",22/09/2018,05:47:50 PM,82:37,0:00,65:18,"5072","61","0","4169","32.1","78","1","58","218",109.00%,1:1,82:39,86:06,"35","545","77","25","0","2","105","1.3","4844","123","72","16","17","4","0","1",4:08,42:16,"4","1","0","1","0","0","2","2","0","0","0","0",
"Lindenmuth, Ezi","AUCKLAND ACADEMY 2018",22/09/2018,05:49:46 PM,82:42,0:05,14:55,"5169","63","36","994","40.0","118","1","32","209",104.50%,1:1,82:29,82:42,"40","441","114","24","0","24","164","2.0","4886","183","59","3","2","5","1","0",12:46,12:44,"0","1","0","0","1","1","24","18","6","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",22/09/2018,05:44:47 PM,87:07,0:00,61:43,"4889","56","0","3592","32.2","98","10","74","217",108.50%,1:1,87:09,87:06,"38","479","92","35","0","11","148","1.7","4303","262","166","115","43","10","7","3",8:58,35:58,"3","1","0","4","3","0","11","10","1","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",22/09/2018,05:49:19 PM,100:44,0:00,36:08,"6788","67","0","2811","28.6","152","1","76","214",107.00%,2:3,100:44,100:44,"49","513","176","27","0","16","221","2.2","6332","311","128","17","0","10","1","0",22:02,26:57,"2","0","0","2","1","0","16","14","2","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",22/09/2018,05:48:21 PM,102:47,0:00,61:12,"6672","65","0","4108","28.6","172","4","116","218",109.00%,1:1,102:50,102:47,"51","497","186","35","0","25","253","2.5","5979","464","193","36","0","15","4","0",10:12,39:12,"8","3","1","4","0","1","25","19","5","1","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",22/09/2018,05:46:53 PM,101:47,0:00,14:51,"7242","73","0","1216","27.1","170","2","38","208",109.50%,1:1,99:05,99:21,"52","322","146","49","0","13","212","2.1","6320","617","105","24","0","11","2","0",22:57,34:46,"5","0","0","2","2","1","13","10","3","0","0","0",
"Rayasi, Salesi","AUCKLAND ACADEMY 2018",22/09/2018,05:46:22 PM,100:31,0:01,77:13,"6943","69","6","5288","33.8","129","21","97","217",105.30%,1:1,100:32,100:32,"48","680","146","60","0","8","239","2.4","5946","382","285","251","76","10","16","5",13:09,61:46,"6","2","1","2","3","2","8","6","2","0","0","0",
"Renata, Marcel","AUCKLAND ACADEMY 2018",22/09/2018,05:50:59 PM,102:35,0:01,**,"5716","57","10",**,"27.1","112","25",**,"0",0.00%,**,101:01,0:00,"44","401","143","20","0","29","247","2.4","5506","154","45","11","0","2","1","0",0:00,0:00,"1","0","0","2","0","0","29","25","4","0","0","0",
"Ruru, Jonathan","AUCKLAND ACADEMY 2018",22/09/2018,05:47:22 PM,80:27,0:00,14:59,"6372","79","2","1449","34.1","155","3","52","199",99.50%,2:3,80:16,80:26,"44","483","146","45","0","7","207","2.6","5749","451","121","31","18","8","2","1",21:04,13:09,"3","1","0","2","1","1","7","5","2","0","0","0",
