VX View: Training Report (2018-09-07 to 2018-09-07)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",7/09/2018,06:32:25 PM,92:56,0:00,44:19,"4508","55","0","2716","22.6","108","22","73","211",102.90%,1:1,82:35,92:56,"39","151","37","21","0","11","92","1.0","4395","100","13","0","0","1","0","0",21:28,31:37,"0","0","0","0","0","0","11","10","1","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",7/09/2018,06:30:11 PM,17:34,0:00,7:47,"709","43","0","379","18.7","19","0","7","206",103.00%,1:1,16:38,17:34,"7","76","12","8","0","1","23","1.3","684","26","0","0","0","0","0","0",4:16,6:49,"0","0","0","0","0","0","1","1","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",7/09/2018,06:29:16 PM,83:23,0:00,30:12,"5214","71","0","2475","29.2","143","2","72","215",107.50%,2:3,73:40,83:23,"42","424","143","53","0","15","215","2.6","4634","383","142","55","2","12","2","0",18:47,26:13,"3","3","1","6","2","0","15","14","1","0","0","0",
"Gibson, Blake","AUCKLAND ACADEMY 2018",7/09/2018,06:31:00 PM,76:50,0:00,1:05,"1587","24","0","39","20.1","29","0","0","202",101.00%,1:1,66:25,76:38,"23","282","34","7","0","1","43","0.6","1559","28","0","0","0","0","0","0",2:38,0:59,"0","0","0","0","0","0","1","1","0","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",7/09/2018,06:32:35 PM,92:56,0:00,9:25,"4406","55","0","629","22.9","81","0","18","213",106.50%,1:1,80:17,92:56,"37","255","51","19","0","10","81","0.9","4290","113","4","0","0","1","0","0",14:40,7:36,"0","1","0","2","1","0","10","8","2","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",7/09/2018,06:30:14 PM,24:14,0:00,7:51,"917","38","0","360","26.1","22","1","11","208",104.00%,1:1,24:14,24:14,"9","79","10","5","0","2","19","0.8","873","27","12","4","0","0","1","0",4:35,7:27,"0","0","0","0","0","0","2","1","1","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",7/09/2018,06:29:58 PM,92:56,0:00,**,"5897","71","0",**,"30.5","141","7",**,"0",0.00%,**,82:44,0:00,"45","193","94","39","0","11","151","1.6","5296","343","155","93","11","11","6","1",0:00,0:00,"0","0","0","3","0","0","11","9","2","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",7/09/2018,06:30:59 PM,92:56,0:00,16:43,"4131","50","0","871","31.6","99","10","23","202",101.00%,2:3,82:31,92:56,"38","270","69","35","0","5","124","1.3","3639","212","165","103","12","8","8","2",22:18,14:19,"1","0","0","2","0","0","5","2","3","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",7/09/2018,06:33:13 PM,75:38,0:00,42:45,"4788","73","0","3368","23.4","110","0","83","212",106.00%,1:1,65:41,75:38,"36","331","108","25","0","21","156","2.1","4513","236","39","0","0","2","0","0",10:28,33:13,"0","1","0","0","0","0","21","21","0","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",7/09/2018,06:33:13 PM,84:37,0:00,47:13,"5216","70","0","3640","23.4","115","0","88","212",106.00%,1:1,74:38,84:38,"39","331","116","26","0","22","166","2.0","4941","236","39","0","0","2","0","0",12:06,36:09,"0","1","0","0","0","0","22","22","0","0","0","0",
