VX View: Training Report (2018-08-30 to 2018-08-30)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",30/08/2018,03:52:26 PM,76:58,0:00,57:36,"3610","54","0","3215","21.1","72","15","66","217",105.80%,1:1,67:08,76:58,"31","152","28","17","0","9","71","0.9","3547","61","2","0","0","0","0","0",10:20,44:19,"0","0","0","1","0","0","9","9","0","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",30/08/2018,03:52:50 PM,28:32,0:00,0:00,"1718","60","0","0","25.1","42","0","0","116",58.00%,1:1,28:32,28:32,"14","186","18","5","0","8","34","1.2","1580","105","30","2","0","4","0","0",0:00,0:00,"0","0","0","0","0","0","8","8","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",30/08/2018,03:53:03 PM,95:24,0:00,67:03,"6140","72","0","5088","29.4","145","3","120","220",110.00%,1:1,85:42,95:23,"46","336","135","43","0","18","202","2.1","5384","513","204","37","2","11","3","0",6:07,40:55,"2","2","0","0","0","0","18","15","3","0","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",30/08/2018,03:52:37 PM,68:19,0:00,18:28,"4531","78","0","1694","32.6","110","39","49","204",102.00%,1:1,58:25,68:18,"34","814","161","23","0","8","232","3.4","4218","247","44","11","10","1","1","1",21:06,16:33,"5","0","0","0","2","0","8","5","2","1","0","0",
"Gibson, Blake","AUCKLAND ACADEMY 2018",30/08/2018,03:52:21 PM,83:48,0:00,**,"4530","61","0",**,"27.8","96","2",**,"0",0.00%,**,73:44,0:00,"36","625","136","24","0","22","202","2.4","4291","158","71","10","0","7","2","0",0:00,0:00,"2","3","0","0","1","0","22","15","5","2","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",30/08/2018,03:52:33 PM,95:24,0:00,11:16,"5264","62","0","961","23.3","78","0","19","204",102.00%,1:1,85:16,95:24,"39","236","55","18","0","8","82","0.9","5007","231","26","0","0","2","0","0",15:27,9:47,"1","0","0","1","0","0","8","8","0","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",30/08/2018,03:52:05 PM,95:24,0:00,26:04,"4756","56","0","1606","21.3","104","0","35","215",107.50%,1:1,85:29,95:24,"40","242","52","18","0","15","92","1.0","4569","182","4","0","0","0","0","0",32:04,19:52,"0","0","0","1","0","0","15","12","2","1","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",30/08/2018,03:53:03 PM,95:24,0:00,28:43,"6173","72","0","2265","30.2","129","5","51","214",107.00%,2:3,85:27,95:24,"45","245","78","41","0","13","138","1.4","5447","435","202","81","8","10","3","2",17:50,25:26,"0","0","0","0","0","1","13","7","6","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",30/08/2018,04:53:33 PM,95:24,0:01,57:44,"5110","59","8","3609","34.0","117","12","96","220",110.00%,1:1,86:42,95:24,"42","812","77","46","0","15","152","1.6","4379","244","246","186","46","10","8","3",15:18,40:36,"5","0","1","0","1","0","15","15","0","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",30/08/2018,03:52:43 PM,28:55,0:00,13:49,"2033","70","0","968","25.3","48","0","25","208",104.00%,1:1,28:54,28:54,"15","342","55","5","0","5","66","2.3","1848","131","52","2","0","4","0","0",5:45,12:38,"0","0","0","1","0","0","5","4","1","0","0","0",
"Papalii, Dalton","AUCKLAND ACADEMY 2018",30/08/2018,03:52:13 PM,95:24,0:00,26:26,"5975","70","0","2125","28.3","134","1","47","212",106.00%,1:1,85:27,95:24,"45","412","145","38","0","16","201","2.1","5433","403","112","27","0","6","1","0",17:07,21:19,"4","0","0","3","0","1","16","11","4","1","0","0",
"Plummer, Harry","AUCKLAND ACADEMY 2018",30/08/2018,03:52:51 PM,79:30,0:00,7:32,"5149","74","0","820","28.4","123","1","31","209",110.00%,1:1,69:38,79:30,"39","171","71","22","0","5","101","1.3","4507","439","173","29","0","9","1","0",13:39,22:16,"0","0","0","0","1","0","5","5","0","0","0","0",
