VX View: Training Report (2018-10-20 to 2018-10-20)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",20/10/2018,03:49:20 PM,71:43,0:00,35:19,"3744","60","0","2181","23.9","75","15","44","212",103.40%,1:1,62:47,71:42,"30","296","75","11","0","7","108","1.5","3615","89","39","0","0","3","0","0",16:39,26:24,"0","0","0","0","0","0","7","6","1","0","0","0",
"Adams, Jarred","AUCKLAND ACADEMY 2018",20/10/2018,03:52:49 PM,27:38,0:00,**,"1718","62","0",**,"22.9","31","0",**,"0",0.00%,**,27:38,0:00,"12","316","45","6","0","9","74","2.7","1698","17","3","0","0","0","0","0",0:00,0:00,"2","0","0","0","0","0","9","9","0","0","0","0",
"Choat, Adrian","AUCKLAND ACADEMY 2018",20/10/2018,03:51:10 PM,76:52,0:00,31:31,"4479","66","0","2308","26.1","132","2","77","212",105.50%,1:2,68:17,76:52,"38","460","139","38","0","29","211","2.8","4066","274","129","9","0","7","2","0",18:30,27:41,"4","0","0","2","1","0","29","24","5","0","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",20/10/2018,03:51:59 PM,9:26,0:00,3:44,"781","83","0","408","32.2","14","3","7","206",103.00%,1:2,9:26,9:26,"5","185","17","5","0","1","27","2.9","595","42","45","70","29","1","2","1",2:20,3:28,"0","0","0","0","0","0","1","1","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",20/10/2018,03:50:26 PM,91:45,0:00,65:50,"5535","66","4","4471","35.0","113","9","95","215",107.50%,1:1,83:25,91:46,"42","521","109","47","0","24","190","2.1","4543","523","318","115","33","17","8","0",9:33,42:29,"3","2","0","5","1","1","24","14","10","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",20/10/2018,03:49:56 PM,91:45,0:00,7:35,"4804","58","0","500","30.9","77","2","9","196",98.00%,2:3,82:35,91:45,"37","309","60","14","0","18","95","1.0","4598","124","41","31","9","2","1","1",16:05,6:20,"1","0","0","1","2","0","18","14","4","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",20/10/2018,03:51:41 PM,91:45,0:00,46:46,"4813","58","0","2588","24.9","94","0","53","208",104.00%,2:3,82:57,91:45,"38","393","92","16","0","9","120","1.3","4640","145","27","1","0","4","0","0",19:15,43:25,"1","0","0","0","0","0","9","8","1","0","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",20/10/2018,03:50:26 PM,83:36,0:00,28:32,"5519","74","0","2286","29.1","117","8","55","211",105.50%,2:3,74:59,83:36,"40","480","105","26","0","12","152","1.8","4802","367","236","113","1","9","8","0",21:25,25:21,"0","1","0","3","0","0","12","12","0","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",20/10/2018,03:51:17 PM,91:45,0:00,20:11,"4737","57","0","1289","31.2","97","12","31","214",107.00%,2:3,83:22,91:45,"38","843","123","43","0","12","194","2.1","4096","240","163","187","52","7","7","5",29:25,16:45,"3","3","0","3","2","4","12","9","3","0","0","0",
"Olmstead, Evan","AUCKLAND ACADEMY 2018",20/10/2018,03:51:10 PM,91:45,0:00,**,"4531","58","0",**,"30.1","33","1",**,"0",0.00%,**,78:50,0:00,"32","719","46","7","0","27","95","1.0","4465","28","21","11","5","1","0","1",0:00,0:00,"1","1","0","0","1","0","27","21","6","0","0","0",
