VX View: Training Report (2018-10-04 to 2018-10-04)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Able, Rob","AUCKLAND ACADEMY 2018",4/10/2018,05:54:49 PM,96:14,0:00,48:29,"5153","59","0","2927","24.7","114","27","75","206",100.50%,2:3,87:02,96:14,"42","336","121","21","0","13","182","1.9","4970","136","48","0","0","3","0","0",29:34,31:35,"3","1","1","1","1","0","13","11","2","0","0","0",
"Clarke, Caleb","AUCKLAND ACADEMY 2018",4/10/2018,05:53:31 PM,7:31,0:00,6:02,"934","124","0","715","25.6","20","0","18","212",106.00%,3:2,7:31,7:31,"5","404","21","9","0","0","30","4.0","557","220","154","3","0","7","0","0",1:01,4:43,"0","0","1","0","0","0","0","0","0","0","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",4/10/2018,05:53:49 PM,100:46,0:00,72:32,"6475","70","0","4959","31.6","180","5","141","218",109.00%,1:1,92:26,100:46,"51","489","179","52","0","16","253","2.5","5790","417","164","83","20","11","3","2",11:14,47:42,"4","1","0","3","3","0","16","12","4","0","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",4/10/2018,05:54:17 PM,66:36,0:00,15:01,"4379","76","0","1350","24.9","119","39","51","205",102.50%,2:3,57:46,66:36,"34","441","118","20","0","6","184","2.8","4181","186","11","0","0","1","0","0",15:29,12:42,"2","0","0","1","0","0","6","5","1","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",4/10/2018,05:54:14 PM,102:35,0:00,3:04,"5560","59","0","273","26.5","113","0","15","194",97.00%,2:3,93:57,102:34,"44","362","102","22","0","10","135","1.3","5348","185","25","1","0","4","0","0",16:06,2:07,"4","2","0","1","0","1","10","9","1","0","0","0",
"Lane, Jamie","AUCKLAND ACADEMY 2018",4/10/2018,05:53:18 PM,34:39,0:00,10:44,"2317","67","0","804","30.0","55","1","21","208",104.00%,2:3,34:38,34:43,"17","618","71","14","0","6","92","2.7","2059","134","75","43","6","4","0","1",11:32,9:09,"2","0","0","1","0","0","6","5","1","0","0","0",
"Lemalu, Faatungu","AUCKLAND ACADEMY 2018",4/10/2018,05:54:39 PM,103:07,0:00,45:43,"5464","58","0","2983","22.6","129","0","77","217",108.50%,2:3,94:37,103:07,"45","308","138","24","0","24","191","1.8","5247","193","24","0","0","2","0","0",23:44,36:53,"4","1","0","1","0","0","24","23","1","0","0","0",
"Lindenmuth, Ezi","AUCKLAND ACADEMY 2018",4/10/2018,05:53:04 PM,18:50,0:00,6:11,"1067","57","0","371","21.8","25","0","13","197",98.50%,2:3,18:50,18:50,"9","374","26","4","0","6","36","1.9","1044","22","1","0","0","0","0","0",4:34,5:47,"1","0","0","0","0","0","6","4","1","1","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",4/10/2018,05:53:49 PM,102:01,0:00,16:34,"6577","70","0","1223","31.8","146","6","25","200",100.00%,1:1,93:38,102:00,"49","401","158","51","0","13","234","2.3","5817","397","241","97","25","10","3","3",16:19,14:40,"3","0","0","5","0","0","13","11","2","0","0","0",
"Nanai, Melani","AUCKLAND ACADEMY 2018",4/10/2018,05:53:41 PM,96:28,0:00,71:42,"5594","64","5","4379","36.1","114","14","89","217",108.50%,1:1,88:00,96:28,"43","510","110","43","0","10","183","1.9","4742","276","269","233","72","9","8","5",10:23,52:08,"3","4","0","3","0","1","10","9","1","0","0","0",
