VX View: Training Report (2018-08-18 to 2018-08-18)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Duration Speed Hi-Inten (min:sec),Duration HR Hi-Inten (min:sec),Distance  Total (m),Distance Rate (m/min),Distance Speed Hi-Inten (m),Distance HR Hi-Inten (m),Speed Max (km/h),Sprints Total (num),Sprints  Hi-Inten (num),Sprints HR Hi-Inten (num),HR Max  Total (bpm),% MaxHR,Work Recovery Ratio (ratio),Speed Duration  Total (min:sec),HR Duration  Total (min:sec), Athlete Load,Metabolic PowerPeak,Hi Int Acceleration,Hi Int Deceleration,Impact Rate (Imp/min),Body Impacts (num),Hi Intensity Effort,HIE Rate,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),SprintsSpeed Zone 3 (num),SprintsSpeed Zone 4 (num),SprintsSpeed Zone 5 (num),DurationHR Zone 4 (min:sec),DurationHR Zone 5 (min:sec),AccelerationsAcceleration Zone 3 (num),AccelerationsAcceleration Zone 4 (num),AccelerationsAcceleration Zone 5 (num),DecelerationsDeceleration Zone 3 (num),DecelerationsDeceleration Zone 4 (num),DecelerationsDeceleration Zone 5 (num),Body ImpactsBody Impacts Zone Total (num),Body ImpactsBody Impacts Grade 1 (num),Body ImpactsBody Impacts Grade 2 (num),Body ImpactsBody Impacts Grade 3 (num),Body ImpactsBody Impacts Grade 4 (num),Body ImpactsBody Impacts Grade 5 (num),
"Adams, Jarred","AUCKLAND ACADEMY 2018",18/08/2018,04:20:17 PM,62:02,0:00,43:24,"3848","68","0","2847","24.3","91","0","66","218",109.00%,2:3,56:16,62:02,"30","418","108","17","0","11","136","2.2","3686","127","35","0","0","2","0","0",6:15,32:30,"1","1","0","0","0","0","11","8","3","0","0","0",
"Dunshea, Lyndon","AUCKLAND ACADEMY 2018",18/08/2018,12:52:59 PM,73:58,0:00,**,"3911","53","0",**,"28.1","71","2",**,"0",0.00%,**,73:17,0:00,"31","324","34","20","0","11","70","1.0","3638","140","106","27","0","5","2","0",0:00,0:00,"0","0","0","1","1","0","11","9","1","1","0","0",
"Faiane, TJ","AUCKLAND ACADEMY 2018",18/08/2018,04:57:39 PM,92:31,0:00,29:07,"5387","65","0","2395","27.7","128","3","66","211",105.50%,2:3,82:45,92:32,"43","557","128","37","0","19","188","2.0","4800","355","196","37","0","15","3","0",16:35,25:41,"4","0","0","1","7","0","19","14","4","1","0","0",
"Fepuleai, Marco","AUCKLAND ACADEMY 2018",18/08/2018,04:56:29 PM,73:17,0:00,17:20,"3426","54","0","802","25.5","68","0","18","204",102.00%,1:1,63:12,73:17,"29","128","27","9","0","12","49","0.7","3289","99","36","1","0","4","0","0",20:02,15:12,"0","0","0","0","0","0","12","11","0","1","0","0",
"Fukofuka, Leon","AUCKLAND ACADEMY 2018",18/08/2018,04:58:16 PM,67:31,0:00,19:08,"4340","75","0","1575","29.4","100","42","43","201",100.50%,2:3,57:32,67:32,"33","617","113","30","0","11","197","2.9","4075","200","52","14","1","3","1","0",22:11,15:40,"1","3","0","4","0","0","11","11","0","0","0","0",
"Gibson, Blake","AUCKLAND ACADEMY 2018",18/08/2018,04:56:34 PM,92:31,0:00,27:26,"5861","67","0","2099","27.3","156","2","73","206",103.00%,2:3,87:17,92:32,"46","372","146","37","0","14","202","2.2","5277","442","125","17","0","9","2","0",23:34,23:58,"6","2","0","1","1","1","14","10","4","0","0","0",
"Ioane, Akira","AUCKLAND ACADEMY 2018",18/08/2018,04:56:14 PM,87:18,0:00,55:06,"4236","56","0","3038","25.2","63","0","46","217",108.50%,1:1,75:38,87:09,"33","172","29","14","0","21","68","0.8","4097","96","41","3","0","2","0","0",3:22,27:00,"0","0","0","0","0","0","21","19","2","0","0","0",
"Lane, Jamie","AUCKLAND ACADEMY 2018",18/08/2018,04:59:51 PM,92:31,0:00,2:12,"4506","54","0","92","24.2","107","0","4","191",95.50%,1:1,82:52,92:31,"39","138","53","19","0","11","86","0.9","4215","249","42","0","0","3","0","0",9:16,1:42,"0","0","0","0","0","0","11","9","2","0","0","0",
"Liaana, Desma","AUCKLAND ACADEMY 2018",18/08/2018,12:54:55 PM,73:58,0:00,5:35,"4616","66","0","516","32.0","112","10","14","196",98.00%,2:3,69:28,73:56,"36","160","68","39","0","16","137","1.8","3871","336","198","160","50","6","8","2",13:53,4:43,"0","0","0","1","0","0","16","10","5","1","0","0",
"Manu, Tumua","AUCKLAND ACADEMY 2018",18/08/2018,04:57:19 PM,91:06,0:00,17:43,"5648","68","0","1389","31.1","112","3","29","208",104.00%,2:3,83:21,91:06,"41","231","61","29","0","6","100","1.1","5030","420","145","35","18","11","1","2",13:04,15:53,"1","0","0","2","0","0","6","4","2","0","0","0",
