VX View: Training Report (2019-09-08 to 2019-09-08)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Faiane, TJ","Mitre 10 2019",8/09/2019,11:57:35 AM,98:25,"6623","27.3","131","5867","522","193","41","0","23","6","0","0",
"Ruru, Jonathon","Mitre 10 2019",8/09/2019,11:57:29 AM,71:59,"5268","23.5","119","4786","434","47","0","0","7","0","0","0",
"Plummer, Harry","Mitre 10 2019",8/09/2019,11:57:33 AM,95:56,"6355","31.9","118","5621","512","176","40","7","11","5","0","1",
"Gibson, Blake","Mitre 10 2019",8/09/2019,11:57:24 AM,95:56,"5085","28.7","105","4562","387","112","24","0","26","1","1","0",
"Clarke, Caleb","Mitre 10 2019",8/09/2019,11:57:44 AM,98:25,"5954","33.1","103","5165","388","195","148","57","7","6","6","2",
"Rayasi, Salesi","Mitre 10 2019",8/09/2019,11:57:33 AM,98:25,"6057","33.3","95","5320","285","217","164","71","16","11","4","3",
"Manu, Tumua","Mitre 10 2019",8/09/2019,11:57:34 AM,78:55,"5558","33.0","94","4886","366","165","100","39","5","2","4","2",
"Choat, Adrian","Mitre 10 2019",8/09/2019,11:57:50 AM,73:25,"4227","28.6","87","3871","202","110","42","0","16","4","2","0",
"Ioane, Akira","Mitre 10 2019",8/09/2019,11:57:28 AM,98:25,"5321","23.9","62","5157","132","31","0","0","12","0","0","0",
"Whetton, Jack","Mitre 10 2019",8/09/2019,11:57:21 AM,98:25,"4830","24.9","61","4699","90","40","1","0","20","1","0","0",
"Hodgmen, Alex","Mitre 10 2019",8/09/2019,11:55:10 AM,62:27,"3609","24.5","59","3500","88","21","0","0","19","0","0","0",
"Apisai, Leni","Mitre 10 2019",8/09/2019,11:57:19 AM,60:40,"3358","25.7","58","3199","112","42","4","0","12","1","0","0",
"Renata, Marcel","Mitre 10 2019",8/09/2019,11:57:19 AM,62:27,"3248","26.1","48","3144","32","69","4","0","13","3","0","0",
"Lane, Jamie","Mitre 10 2019",8/09/2019,11:57:51 AM,24:21,"1422","27.1","39","1267","97","48","10","0","2","1","0","0",
"Adams, Jarred","Mitre 10 2019",8/09/2019,11:57:47 AM,34:23,"1320","25.0","30","1285","21","12","1","0","7","1","0","0",
"Koroi, Taniela","Mitre 10 2019",8/09/2019,11:57:47 AM,34:23,"1665","22.8","26","1631","26","8","0","0","9","0","0","0",
"Abel, Robbie","Mitre 10 2019",8/09/2019,11:57:53 AM,34:23,"1687","24.2","26","1642","24","20","0","0","7","1","0","0",
"Telea, Tanielu","Mitre 10 2019",8/09/2019,11:57:52 AM,18:19,"1093","24.8","22","1029","29","35","0","0","6","1","0","0",
"Sotutu, Hoskins","Mitre 10 2019",8/09/2019,11:57:24 AM,14:39,"983","23.8","17","911","55","17","0","0","2","0","0","0",
"Kirkpatrick, Dan","Mitre 10 2019",8/09/2019,11:57:57 AM,5:08,"273","23.7","3","236","18","19","0","0","0","1","0","0",
"Tusitala, Danny","Mitre 10 2019",8/09/2019,12:15:32 PM,258:12,"0","0.0",**,**,**,**,**,**,"0",**,**,**,
Avg,**,**,**,72:16,"3521","25.5","62","3228","182","75","28","8","10","2","1","0",
Lowest,**,**,**,5:08,"0","0.0","0","0","0","0","0","0","0","0","0","0",
Highest,**,**,**,258:12,"6623","33.3","131","5867","522","217","164","71","26","11","6","3",
