VX View: Training Report (2019-09-14 to 2019-09-14)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Faiane, TJ","Mitre 10 2019",14/09/2019,05:40:40 PM,108:22,"6516","29.1","132","5657","472","332","56","1","8","13","1","0",
"Plummer, Harry","Mitre 10 2019",14/09/2019,05:48:53 PM,108:22,"6064","33.3","129","5487","480","74","14","10","7","2","1","1",
"Clarke, Caleb","Mitre 10 2019",14/09/2019,05:39:18 PM,108:22,"6490","33.0","116","5686","397","277","82","49","13","11","0","4",
"Gibson, Blake","Mitre 10 2019",14/09/2019,05:46:37 PM,107:29,"5649","28.2","115","4976","473","184","14","0","18","3","1","0",
"Whetton, Jack","Mitre 10 2019",14/09/2019,05:53:32 PM,108:22,"6361","28.3","114","6083","164","101","13","0","24","3","0","0",
"Manu, Tumua","Mitre 10 2019",14/09/2019,05:41:22 PM,98:05,"6352","28.0","110","5717","467","122","45","0","3","3","1","0",
"Apisai, Leni","Mitre 10 2019",14/09/2019,05:51:14 PM,77:48,"4339","27.2","99","3995","250","88","5","0","14","3","0","0",
"Rayasi, Salesi","Mitre 10 2019",14/09/2019,05:36:38 PM,108:22,"6180","33.0","83","5568","353","173","81","7","10","4","4","1",
"Tusitala, Danny","Mitre 10 2019",14/09/2019,05:44:54 PM,65:16,"3890","26.9","80","3569","213","97","10","0","14","5","0","0",
"Adams, Jarred","Mitre 10 2019",14/09/2019,05:52:44 PM,65:16,"3358","23.7","74","3186","119","53","0","0","23","0","0","0",
"Renata, Marcel","Mitre 10 2019",14/09/2019,05:53:38 PM,81:32,"4020","24.8","66","3860","127","33","0","0","23","1","0","0",
"Ioane, Akira","Mitre 10 2019",14/09/2019,05:48:20 PM,94:00,"4744","21.6","58","4641","102","2","0","0","17","0","0","0",
"Lane, Jamie","Mitre 10 2019",14/09/2019,05:41:55 PM,43:51,"2383","28.3","51","2115","167","80","21","0","2","1","1","0",
"Hodgmen, Alex","Mitre 10 2019",14/09/2019,05:44:21 PM,43:51,"2327","25.7","45","2203","78","44","3","0","12","2","0","0",
"Ruru, Jonathon","Mitre 10 2019",14/09/2019,05:33:52 PM,43:51,"2119","26.5","31","1862","178","73","6","0","5","2","0","0",
"Choat, Adrian","Mitre 10 2019",14/09/2019,05:36:35 PM,20:41,"1238","28.2","29","1125","71","28","13","0","2","0","1","0",
"Sosene, Mike","Mitre 10 2019",14/09/2019,05:50:03 PM,26:21,"1342","26.4","25","1249","61","28","4","0","6","1","0","0",
"Telea, Tanielu","Mitre 10 2019",14/09/2019,05:53:09 PM,7:30,"428","28.0","6","386","12","15","15","0","0","1","1","0",
"Kirkpatrick, Dan","Mitre 10 2019",14/09/2019,05:35:59 PM,3:33,"275","26.7","3","216","40","10","9","0","0","1","0","0",
Avg,**,**,**,69:31,"3899","27.7","72","3557","222","95","21","4","11","3","1","0",
Lowest,**,**,**,3:33,"275","21.6","3","216","12","2","0","0","0","0","0","0",
Highest,**,**,**,108:22,"6516","33.3","132","6083","480","332","82","49","24","13","4","4",
