VX View: Training Report (2019-08-09 to 2019-08-09)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Telea, Tanielu","Mitre 10 2019",9/08/2019,05:40:54 PM,93:02,"6102","30.0","143","5374","440","220","64","3","17","7","4","0",
"Tusitala, Danny","Mitre 10 2019",9/08/2019,05:35:54 PM,93:02,"6071","28.4","130","5620","322","101","27","0","15","5","1","0",
"Faiane, TJ","Mitre 10 2019",9/08/2019,05:38:21 PM,93:02,"6213","31.6","120","5693","365","133","20","3","22","4","1","0",
"Clarke, Caleb","Mitre 10 2019",9/08/2019,05:43:59 PM,93:02,"6156","30.7","118","5391","368","223","132","42","10","9","8","1",
"Plummer, Harry","Mitre 10 2019",9/08/2019,05:45:58 PM,75:35,"5322","25.3","114","4163","439","79","1","0","12","2","0","0",
"Whetton, Jack","Mitre 10 2019",9/08/2019,05:29:10 PM,93:02,"5406","23.7","106","5228","165","13","0","0","31","0","0","0",
"Lam, AJ","Mitre 10 2019",9/08/2019,05:40:57 PM,93:02,"5779","30.0","104","5085","341","255","93","4","16","11","3","0",
"Sotutu, Hoskins","Mitre 10 2019",9/08/2019,05:40:42 PM,93:02,"4881","28.7","101","4592","200","57","32","0","11","2","2","0",
"Reidler Kapa, Waimana","Mitre 10 2019",9/08/2019,05:42:10 PM,93:02,"5026","27.7","95","4754","199","62","11","0","8","2","0","0",
"Lane, Jamie","Mitre 10 2019",9/08/2019,05:33:21 PM,73:17,"4398","23.8","81","4232","149","17","0","0","13","0","0","0",
"Gibson, Blake","Mitre 10 2019",9/08/2019,05:40:39 PM,67:56,"3935","26.7","81","3577","294","55","8","0","18","2","0","0",
"Hodgmen, Alex","Mitre 10 2019",9/08/2019,05:33:07 PM,58:37,"3488","22.8","76","3393","91","2","0","0","16","0","0","0",
"Rayasi, Salesi","Mitre 10 2019",9/08/2019,05:40:51 PM,93:02,"5690","29.3","75","5114","301","168","104","3","15","8","3","0",
"Abel, Robbie","Mitre 10 2019",9/08/2019,05:44:57 PM,53:31,"2967","21.0","54","2872","94","1","0","0","5","0","0","0",
"Choat, Adrian","Mitre 10 2019",9/08/2019,05:44:54 PM,27:32,"1472","25.5","50","1386","62","24","1","0","22","1","0","0",
"Apisai, Leni","Mitre 10 2019",9/08/2019,05:32:24 PM,40:48,"2303","22.4","48","2230","71","2","0","0","6","0","0","0",
"Lundenmuth, Ezeikeil","Mitre 10 2019",9/08/2019,05:44:55 PM,33:06,"1881","23.7","46","1778","69","33","0","0","11","1","0","0",
"Renata, Marcel","Mitre 10 2019",9/08/2019,05:28:56 PM,62:04,"3024","22.0","41","2908","105","11","0","0","30","0","0","0",
"Dunshea, Lyndon","Mitre 10 2019",9/08/2019,05:40:36 PM,22:05,"1097","23.2","37","1041","55","1","0","0","6","0","0","0",
"Leuila, DAngelo","Mitre 10 2019",9/08/2019,05:44:58 PM,13:57,"932","26.5","29","892","22","14","4","0","3","1","0","0",
Avg,**,**,**,68:17,"4107","26.2","82","3766","208","74","25","3","14","3","1","0",
Lowest,**,**,**,13:57,"932","21.0","29","892","22","1","0","0","3","0","0","0",
Highest,**,**,**,93:02,"6213","31.6","143","5693","440","255","132","42","31","11","8","1",
