VX View: Training Report (2019-08-24 to 2019-08-24)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Telea, Tanielu","Mitre 10 2019",24/08/2019,03:20:31 PM,88:48,"6546","27.1","154","5697","551","258","41","0","7","9","0","0",
"Faiane, TJ","Mitre 10 2019",24/08/2019,03:16:21 PM,95:45,"6838","29.6","143","5862","625","326","23","2","17","10","1","0",
"Lane, Jamie","Mitre 10 2019",24/08/2019,03:18:33 PM,95:05,"5964","23.9","135","5618","304","43","0","0","5","0","0","0",
"Gibson, Blake","Mitre 10 2019",24/08/2019,03:14:21 PM,95:03,"5858","25.8","123","5284","466","103","5","0","22","3","0","0",
"Rayasi, Salesi","Mitre 10 2019",24/08/2019,03:37:39 PM,86:42,"6092","31.6","121","5461","342","207","49","33","12","10","1","1",
"Ioane, Rieko","Mitre 10 2019",24/08/2019,03:40:13 PM,90:36,"5980","32.3","119","5337","381","146","84","31","11","5","3","0",
"Leuila, DAngelo","Mitre 10 2019",24/08/2019,03:24:10 PM,85:13,"5693","27.6","116","5345","225","99","23","0","15","5","1","0",
"Clarke, Caleb","Mitre 10 2019",24/08/2019,03:36:34 PM,94:00,"6164","33.1","113","5245","395","301","138","84","10","11","4","4",
"Sotutu, Hoskins","Mitre 10 2019",24/08/2019,03:30:13 PM,86:53,"5732","32.2","106","5224","237","71","123","77","16","1","0","2",
"Ruru, Jonathon","Mitre 10 2019",24/08/2019,04:21:09 PM,78:00,"5931","33.1","87","5365","496","51","7","12","11","2","0","1",
"Papalii, Dalton","Mitre 10 2019",24/08/2019,03:37:57 PM,76:18,"4909","29.1","82","4538","280","83","7","1","11","0","1","0",
"Whetton, Jack","Mitre 10 2019",24/08/2019,03:20:16 PM,90:04,"5276","27.9","77","5148","93","28","4","0","18","1","0","0",
"Hodgmen, Alex","Mitre 10 2019",24/08/2019,03:34:05 PM,68:08,"4393","25.9","75","3730","96","13","0","0","18","1","0","0",
"Trainor, Jordan","Mitre 10 2019",24/08/2019,03:17:55 PM,30:27,"3655","25.1","63","2226","1212","215","1","0","0","2","0","0",
"Renata, Marcel","Mitre 10 2019",24/08/2019,03:19:44 PM,67:59,"3986","23.9","57","3856","100","29","0","0","3","0","0","0",
"Abel, Robbie","Mitre 10 2019",24/08/2019,03:37:57 PM,59:28,"3747","23.4","53","3604","131","12","0","0","4","0","0","0",
"Manu, Tumua","Mitre 10 2019",24/08/2019,03:32:39 PM,30:42,"2906","21.4","45","2415","490","1","0","0","0","0","0","0",
"Apisai, Leni","Mitre 10 2019",24/08/2019,03:35:01 PM,28:44,"1739","27.9","42","1634","80","17","7","0","4","0","1","0",
"Tusitala, Danny","Mitre 10 2019",24/08/2019,03:33:13 PM,13:17,"881","23.7","26","818","51","13","0","0","2","0","0","0",
"Reidler Kapa, Waimana","Mitre 10 2019",24/08/2019,05:40:19 PM,17:26,"855","29.2","24","786","37","17","14","1","6","0","1","0",
"Koroi, Taniela","Mitre 10 2019",24/08/2019,03:46:38 PM,23:54,"1087","20.0","10","1037","50","0","0","0","3","0","0","0",
"Kirkpatrick, Dan","Mitre 10 2019",24/08/2019,03:47:06 PM,11:13,"509","20.8","10","490","19","0","0","0","1","1","0","0",
"Adams, Jarred","Mitre 10 2019",24/08/2019,04:26:19 PM,18:58,"956","23.4","10","906","33","17","0","0","5","0","0","0",
Avg,**,**,**,62:17,"4161","26.9","78","3723","291","89","23","10","9","3","1","0",
Lowest,**,**,**,11:13,"509","20.0","10","490","19","0","0","0","0","0","0","0",
Highest,**,**,**,95:45,"6838","33.1","154","5862","1212","326","138","84","22","11","4","4",
