VX View: Training Report (2019-08-31 to 2019-08-31)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Faiane, TJ","Mitre 10 2019",31/08/2019,05:29:03 PM,103:56,"7034","28.1","160","6235","600","185","13","0","20","6","0","0",
"Telea, Tanielu","Mitre 10 2019",31/08/2019,05:30:01 PM,103:56,"7353","30.0","153","6431","545","301","75","1","17","14","2","0",
"Gibson, Blake","Mitre 10 2019",31/08/2019,05:30:06 PM,103:56,"6321","28.3","131","5598","522","177","23","0","19","6","1","0",
"Ruru, Jonathon","Mitre 10 2019",31/08/2019,05:30:20 PM,72:24,"5864","26.1","129","5185","558","109","11","0","19","4","0","0",
"Sotutu, Hoskins","Mitre 10 2019",31/08/2019,05:30:19 PM,103:56,"6200","26.6","125","5817","310","66","7","0","23","2","0","0",
"Clarke, Caleb","Mitre 10 2019",31/08/2019,05:29:09 PM,103:56,"6343","32.7","125","5575","464","190","93","21","12","5","3","2",
"Lam, AJ","Mitre 10 2019",31/08/2019,05:30:09 PM,84:10,"5603","31.4","122","4836","376","275","107","9","7","12","4","0",
"Leuila, DAngelo","Mitre 10 2019",31/08/2019,05:30:26 PM,74:26,"4966","27.7","110","4471","337","127","30","0","9","4","1","0",
"Lane, Jamie","Mitre 10 2019",31/08/2019,05:29:01 PM,257:20,"5515","23.4","105","5393","92","29","0","0","19","0","0","0",
"Whetton, Jack","Mitre 10 2019",31/08/2019,05:29:01 PM,93:32,"5167","23.4","104","5046","93","29","0","0","19","0","0","0",
"Lane, Jamie","Mitre 10 2019",31/08/2019,05:30:28 PM,72:03,"4672","25.7","98","4285","310","74","1","0","7","2","0","0",
"Reidler Kapa, Waimana","Mitre 10 2019",31/08/2019,05:29:45 PM,63:30,"4086","27.3","92","3756","260","63","6","0","9","2","0","0",
"Rayasi, Salesi","Mitre 10 2019",31/08/2019,05:30:13 PM,103:56,"6517","32.9","89","5909","365","198","26","20","8","6","1","1",
"Hodgmen, Alex","Mitre 10 2019",31/08/2019,05:30:02 PM,56:15,"3562","25.9","77","3328","181","51","1","0","24","2","0","0",
"Abel, Robbie","Mitre 10 2019",31/08/2019,05:30:10 PM,56:15,"3430","22.7","63","3325","99","5","0","0","3","0","0","0",
"Renata, Marcel","Mitre 10 2019",31/08/2019,05:30:14 PM,56:15,"3593","26.0","58","3407","134","50","1","0","10","1","0","0",
"Apisai, Leni","Mitre 10 2019",31/08/2019,05:29:06 PM,45:20,"2461","25.0","50","2342","99","19","1","0","8","1","0","0",
"Adams, Jarred","Mitre 10 2019",31/08/2019,05:29:10 PM,45:20,"2343","23.0","50","2256","80","7","0","0","7","0","0","0",
"Tusitala, Danny","Mitre 10 2019",31/08/2019,05:29:34 PM,31:04,"1901","23.0","44","1763","120","18","0","0","8","0","0","0",
"Kirkpatrick, Dan","Mitre 10 2019",31/08/2019,05:30:04 PM,26:30,"1713","24.8","41","1621","76","16","0","0","4","0","0","0",
"Ioane, Akira","Mitre 10 2019",31/08/2019,05:29:41 PM,39:19,"2295","25.3","29","2203","61","30","1","0","4","1","0","0",
Avg,**,**,**,80:49,"4616","26.6","93","4228","271","96","19","2","12","3","1","0",
Lowest,**,**,**,26:30,"1713","22.7","29","1621","61","5","0","0","3","0","0","0",
Highest,**,**,**,257:20,"7353","32.9","160","6431","600","301","107","21","24","14","4","2",
