VX View: Training Report (2019-09-22 to 2019-09-22)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Choat, Adrian","Mitre 10 2019",22/09/2019,12:53:01 PM,102:07,"6716","30.5","161","6070","423","189","26","8","28","5","0","1",
"Manu, Tumua","Mitre 10 2019",22/09/2019,12:54:13 PM,102:07,"7189","31.2","147","6258","561","261","90","17","16","3","5","1",
"Faiane, TJ","Mitre 10 2019",22/09/2019,12:54:20 PM,102:07,"7030","33.2","138","6085","535","214","143","54","20","9","3","1",
"Clarke, Caleb","Mitre 10 2019",22/09/2019,12:54:05 PM,102:07,"6765","32.2","131","5757","497","364","98","49","20","10","4","2",
"Plummer, Harry","Mitre 10 2019",22/09/2019,12:54:37 PM,102:07,"7149","32.9","130","6100","706","298","36","8","20","7","1","1",
"Ruru, Jonathon","Mitre 10 2019",22/09/2019,12:54:41 PM,79:50,"5886","31.3","116","5024","622","167","61","11","7","3","1","1",
"Trainor, Jordan","Mitre 10 2019",22/09/2019,12:53:59 PM,86:50,"6581","31.1","104","5470","605","347","135","25","15","9","5","1",
"Rayasi, Salesi","Mitre 10 2019",22/09/2019,12:54:29 PM,79:50,"5005","33.7","92","4380","263","190","120","47","12","6","7","0",
"Scraffton, Scott","Mitre 10 2019",22/09/2019,12:51:57 PM,69:29,"4142","26.3","83","3937","136","63","5","0","21","2","0","0",
"Reidler Kapa, Waimana","Mitre 10 2019",22/09/2019,12:53:18 PM,75:22,"4657","27.4","81","4249","248","136","23","0","17","4","0","0",
"Hodgmen, Alex","Mitre 10 2019",22/09/2019,12:50:47 PM,69:29,"4274","23.7","78","4084","158","32","0","0","16","0","0","0",
"Apisai, Leni","Mitre 10 2019",22/09/2019,12:50:54 PM,69:29,"4186","28.9","77","3897","251","35","2","0","19","1","0","0",
"Renata, Marcel","Mitre 10 2019",22/09/2019,12:51:01 PM,79:50,"4362","25.6","72","4106","185","68","3","0","13","2","0","0",
"Ioane, Akira","Mitre 10 2019",22/09/2019,12:52:40 PM,102:07,"5858","24.8","67","5648","191","20","0","0","17","1","0","0",
"Whetton, Jack","Mitre 10 2019",22/09/2019,12:52:16 PM,102:07,"5251","23.5","64","5103","127","22","0","0","22","0","0","0",
"Lane, Jamie","Mitre 10 2019",22/09/2019,12:53:13 PM,30:19,"2004","27.8","46","1786","126","77","14","0","3","1","1","0",
"Leuila, DAngelo","Mitre 10 2019",22/09/2019,12:53:34 PM,14:17,"1119","24.0","36","1042","56","20","0","0","2","1","0","0",
"Sosene, Mike","Mitre 10 2019",22/09/2019,12:52:47 PM,30:19,"1907","23.0","31","1766","120","21","0","0","2","0","0","0",
"Lundenmuth, Ezeikeil","Mitre 10 2019",22/09/2019,12:56:02 PM,30:19,"1895","23.7","27","1801","81","13","0","0","9","1","0","0",
"Telea, Tanielu","Mitre 10 2019",22/09/2019,12:53:13 PM,14:17,"1018","28.7","26","898","75","23","21","0","5","0","2","0",
"Gibson, Blake","Mitre 10 2019",22/09/2019,12:52:35 PM,14:13,"1040","27.9","26","824","127","68","21","0","2","1","1","0",
"Tusitala, Danny","Mitre 10 2019",22/09/2019,12:53:22 PM,30:19,"976","24.6","21","866","85","24","0","0","2","0","0","0",
Avg,**,**,**,67:40,"4319","28.0","80","3870","281","121","36","10","13","3","1","0",
Lowest,**,**,**,14:13,"976","23.0","21","824","56","13","0","0","2","0","0","0",
Highest,**,**,**,102:07,"7189","33.7","161","6258","706","364","143","54","28","10","7","2",
