VX View: Training Report (2019-10-05 to 2019-10-05)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 2019",5/10/2019,03:49:51 PM,95:32,"7388","25.6","163","5937","1122","323","8","0","15","5","0","0",
"Trainor, Jordan","Mitre 10 2019",5/10/2019,03:50:35 PM,95:32,"7021","33.2","144","6031","513","235","129","113","11","9","2","5",
"Papalii, Dalton","Mitre 10 2019",5/10/2019,03:52:31 PM,95:32,"6066","28.9","144","5544","359","136","26","1","12","4","1","0",
"Choat, Adrian","Mitre 10 2019",5/10/2019,04:20:02 PM,95:32,"6060","28.2","136","5516","375","147","21","0","18","4","0","0",
"Ruru, Jonathon","Mitre 10 2019",5/10/2019,03:49:40 PM,74:36,"5906","29.8","117","5114","469","208","112","4","11","4","6","0",
"Lane, Jamie","Mitre 10 2019",5/10/2019,03:51:39 PM,82:07,"5542","27.4","117","5020","419","90","13","0","8","4","0","0",
"Scraffton, Scott","Mitre 10 2019",5/10/2019,03:52:49 PM,95:32,"5523","25.6","114","5268","219","36","1","0","23","0","0","0",
"Rayasi, Salesi","Mitre 10 2019",5/10/2019,03:49:57 PM,95:32,"5856","33.1","113","5046","353","270","123","62","12","11","4","3",
"Clarke, Caleb","Mitre 10 2019",5/10/2019,03:50:23 PM,95:32,"6386","33.0","110","5599","377","241","119","48","17","7","6","1",
"Faiane, TJ","Mitre 10 2019",5/10/2019,03:50:06 PM,67:10,"4972","31.1","107","4310","428","171","57","4","13","9","2","0",
"Reidler Kapa, Waimana","Mitre 10 2019",5/10/2019,03:52:14 PM,74:36,"4425","33.4","84","4033","269","62","39","23","12","2","0","1",
"Hodgmen, Alex","Mitre 10 2019",5/10/2019,03:53:16 PM,57:18,"3715","29.4","80","3492","194","22","5","2","12","0","1","0",
"Renata, Marcel","Mitre 10 2019",5/10/2019,03:52:58 PM,57:18,"3470","23.5","73","3332","107","30","0","0","8","0","0","0",
"Apisai, Leni","Mitre 10 2019",5/10/2019,03:53:08 PM,57:18,"3592","23.8","67","3381","187","25","0","0","9","0","0","0",
"Tusitala, Danny","Mitre 10 2019",5/10/2019,03:50:41 PM,30:14,"2263","30.1","55","1820","233","131","61","18","3","2","3","0",
"Adams, Jarred","Mitre 10 2019",5/10/2019,03:51:57 PM,30:50,"1786","26.1","32","1684","58","40","4","0","6","1","0","0",
"Kirkpatrick, Dan","Mitre 10 2019",5/10/2019,03:50:31 PM,30:14,"2101","29.4","29","1833","137","120","9","1","5","4","1","0",
"Abel, Robbie","Mitre 10 2019",5/10/2019,03:52:06 PM,30:50,"1860","25.3","26","1797","44","17","2","0","6","1","0","0",
"Ioane, Akira","Mitre 10 2019",5/10/2019,03:51:33 PM,30:14,"1702","21.5","23","1608","90","3","0","0","3","0","0","0",
"Manu, Tumua","Mitre 10 2019",5/10/2019,03:50:15 PM,12:00,"1147","28.6","19","900","145","59","44","0","0","2","1","0",
"Whetton, Jack","Mitre 10 2019",5/10/2019,03:52:24 PM,12:15,"633","25.5","4","576","20","35","2","0","4","1","0","0",
Avg,**,**,**,62:39,"4163","28.2","84","3707","291","114","37","13","10","3","1","0",
Lowest,**,**,**,12:00,"633","21.5","4","576","20","3","0","0","0","0","0","0",
Highest,**,**,**,95:32,"7388","33.4","163","6031","1122","323","129","113","23","11","6","5",
