VX View: Training Report (2020-11-15 to 2020-11-15)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 Cup 2020",15/11/2020,03:35:24 PM,111:03,"7642","31.7","155","6868","501","205","58","8","18","6","1","1",
"Ruru, Jonathon","Mitre 10 Cup 2020",15/11/2020,03:36:10 PM,77:33,"6311","27.9","132","5576","489","194","52","0","7","10","0","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",15/11/2020,03:36:09 PM,111:03,"6811","31.8","131","6267","332","114","79","18","11","5","4","1",
"Cobb, Joel","Mitre 10 Cup 2020",15/11/2020,03:35:55 PM,111:03,"6959","31.8","130","5979","508","266","162","45","14","5","5","2",
"Tufuga, Presley","Mitre 10 Cup 2020",15/11/2020,03:36:32 PM,80:44,"5364","32.6","123","4846","380","109","23","7","22","3","0","1",
"Telea, Tanielu","Mitre 10 Cup 2020",15/11/2020,03:35:46 PM,85:14,"5731","33.0","114","4975","452","185","96","22","18","6","2","1",
"Dalzell, Hamish","Mitre 10 Cup 2020",15/11/2020,03:35:40 PM,91:45,"5836","27.0","113","5316","371","133","18","0","19","4","0","0",
"Rayasi, Salesi","Mitre 10 Cup 2020",15/11/2020,03:35:41 PM,111:03,"6918","33.3","108","5823","443","433","180","35","14","15","7","2",
"Scraffton, Scott","Mitre 10 Cup 2020",15/11/2020,03:35:52 PM,111:03,"6133","33.5","99","5868","155","93","12","3","25","3","0","1",
"Sosene, Mike","Mitre 10 Cup 2020",15/11/2020,03:35:59 PM,71:10,"4350","25.7","94","4131","165","49","4","0","15","3","0","0",
"Peita, Terrell","Mitre 10 Cup 2020",15/11/2020,03:35:36 PM,74:55,"4923","26.6","91","4595","208","112","7","0","6","3","0","0",
"Taavao, Angus","Mitre 10 Cup 2020",15/11/2020,03:35:26 PM,67:21,"4311","27.2","81","3958","281","71","2","0","10","1","0","0",
"Jones, Niko","Mitre 10 Cup 2020",15/11/2020,04:34:08 PM,47:51,"2974","29.4","69","2693","166","67","47","1","19","2","2","0",
"Adams, Jarred","Mitre 10 Cup 2020",15/11/2020,03:35:22 PM,68:52,"4029","25.0","59","3879","106","43","1","0","14","1","0","0",
"Lay, James","Mitre 10 Cup 2020",15/11/2020,04:34:05 PM,32:03,"1975","24.3","52","1869","63","42","0","0","10","0","0","0",
"Gibson, Blake","Mitre 10 Cup 2020",15/11/2020,03:36:01 PM,109:02,"2484","25.5","45","2108","260","107","8","0","8","4","0","0",
"Hickey, Simon","Mitre 10 Cup 2020",15/11/2020,03:35:59 PM,17:36,"1401","29.0","43","1251","90","42","17","2","1","2","1","0",
"Hallem Ewes, Liam","Mitre 10 Cup 2020",15/11/2020,05:25:32 PM,14:44,"1168","27.9","31","1026","87","36","19","0","3","2","0","0",
"Royal, Joe","Mitre 10 Cup 2020",15/11/2020,05:54:07 PM,14:31,"973","25.2","22","883","55","34","1","0","1","1","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",15/11/2020,05:50:47 PM,37:17,"1913","23.7","10","1846","38","27","0","0","5","1","0","0",
"Talataina Mu, William","Mitre 10 Cup 2020",15/11/2020,06:03:58 PM,9:52,"822","30.9","9","707","51","43","13","7","0","0","0","1",
Avg,**,**,**,69:19,"4239","28.7","81","3832","248","115","38","7","11","4","1","0",
Lowest,**,**,**,9:52,"822","23.7","9","707","38","27","0","0","0","0","0","0",
Highest,**,**,**,111:03,"7642","33.5","155","6868","508","433","180","45","25","15","7","2",
