VX View: Training Report (2020-10-24 to 2020-10-24)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 Cup 2020",24/10/2020,06:39:34 PM,102:05,"7308","30.2","198","6370","678","217","40","2","17","6","2","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",24/10/2020,06:31:39 PM,100:31,"6939","32.9","168","6037","500","235","135","31","18","7","2","2",
"Gibson, Blake","Mitre 10 Cup 2020",24/10/2020,06:34:57 PM,102:05,"6443","29.2","154","5873","385","155","28","2","27","4","1","0",
"Sosene, Mike","Mitre 10 Cup 2020",24/10/2020,06:40:34 PM,94:00,"5835","27.6","152","5471","276","71","17","0","23","2","0","0",
"Manu, Tumua","Mitre 10 Cup 2020",24/10/2020,06:36:34 PM,102:12,"7466","31.2","151","6421","465","357","204","18","16","9","9","0",
"Telea, Tanielu","Mitre 10 Cup 2020",24/10/2020,06:30:58 PM,100:31,"6542","31.7","137","5606","481","329","101","23","13","11","3","2",
"Choat, Adrian","Mitre 10 Cup 2020",24/10/2020,06:34:28 PM,102:05,"5816","23.7","134","5593","191","31","0","0","33","0","0","0",
"Lam, AJ","Mitre 10 Cup 2020",24/10/2020,06:40:34 PM,102:05,"6359","31.0","106","5748","341","190","74","6","11","6","4","0",
"Scraffton, Scott","Mitre 10 Cup 2020",24/10/2020,06:37:42 PM,102:05,"5934","27.4","100","5663","204","61","6","0","33","1","0","0",
"Dalzell, Hamish","Mitre 10 Cup 2020",24/10/2020,06:33:49 PM,75:46,"4588","24.1","100","4327","207","53","0","0","16","0","0","0",
"Ioane, Akira","Mitre 10 Cup 2020",24/10/2020,06:30:57 PM,102:05,"5990","27.8","99","5581","330","65","14","0","23","0","1","0",
"Finau, Inga","Mitre 10 Cup 2020",24/10/2020,06:37:08 PM,60:24,"4136","29.1","91","3786","255","66","27","2","8","2","1","0",
"Renata, Marcel","Mitre 10 Cup 2020",24/10/2020,06:37:38 PM,73:35,"4644","26.2","88","4429","136","72","7","0","16","2","0","0",
"Lay, James","Mitre 10 Cup 2020",24/10/2020,06:41:46 PM,63:21,"4021","24.9","71","3877","105","38","0","0","10","1","0","0",
"Ruru, Jonathon","Mitre 10 Cup 2020",24/10/2020,06:33:05 PM,16:59,"1636","24.9","42","1415","182","38","1","0","3","1","0","0",
"Hickey, Simon","Mitre 10 Cup 2020",24/10/2020,07:29:45 PM,19:38,"1318","32.4","40","1130","91","57","31","9","2","2","0","1",
"Apisai, Leni","Mitre 10 Cup 2020",24/10/2020,06:36:03 PM,19:14,"1343","22.6","30","1315","24","4","0","0","1","0","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",24/10/2020,06:41:50 PM,33:25,"1531","24.9","22","1481","34","15","1","0","4","1","0","0",
"Fepuleai, Marco","Mitre 10 Cup 2020",24/10/2020,06:35:19 PM,15:55,"754","21.6","15","712","39","3","0","0","7","0","0","0",
"Tuipolotu, Sione","Mitre 10 Cup 2020",24/10/2020,08:19:16 PM,7:49,"231","14.4","1","231","0","0","0","0","0","0","0","0",
Avg,**,**,**,69:47,"4442","26.9","95","4053","246","103","34","5","14","3","1","0",
Lowest,**,**,**,7:49,"231","14.4","1","231","0","0","0","0","0","0","0","0",
Highest,**,**,**,102:12,"7466","32.9","198","6421","678","357","204","31","33","11","9","2",
