VX View: Training Report (2020-09-27 to 2020-09-27)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Hickey, Simon","Mitre 10 Cup 2020",27/09/2020,01:31:11 PM,86:41,"6674","32.9","190","5776","507","252","109","31","18","9","3","1",
"Trainor, Jordan","Mitre 10 Cup 2020",27/09/2020,01:31:32 PM,86:41,"6250","32.0","130","5248","584","299","105","13","16","11","5","1",
"Funaki, Taufa","Mitre 10 Cup 2020",27/09/2020,01:31:38 PM,63:57,"4666","27.7","107","4255","293","87","31","0","9","3","1","0",
"Gibson, Blake","Mitre 10 Cup 2020",27/09/2020,01:31:53 PM,86:41,"5211","29.6","106","4546","429","183","52","2","22","6","1","0",
"Manu, Tumua","Mitre 10 Cup 2020",27/09/2020,01:31:18 PM,86:41,"5581","32.0","98","4944","270","200","137","31","14","6","5","2",
"Rayasi, Salesi","Mitre 10 Cup 2020",27/09/2020,01:31:58 PM,86:41,"5390","33.2","95","4622","305","224","162","77","22","10","4","3",
"Scraffton, Scott","Mitre 10 Cup 2020",27/09/2020,01:31:11 PM,86:41,"5137","25.3","93","4923","175","39","1","0","28","1","0","0",
"Lam, AJ","Mitre 10 Cup 2020",27/09/2020,01:31:04 PM,75:30,"5205","33.2","84","4426","373","174","135","95","8","3","2","3",
"Faiane, TJ","Mitre 10 Cup 2020",27/09/2020,01:31:25 PM,70:48,"4689","29.9","84","4057","315","214","101","2","16","6","3","0",
"Choat, Adrian","Mitre 10 Cup 2020",27/09/2020,01:32:04 PM,86:41,"5003","27.5","79","4689","215","82","16","0","24","3","1","0",
"Whetton, Jack","Mitre 10 Cup 2020",27/09/2020,01:31:13 PM,64:00,"3610","26.7","72","3462","116","25","6","0","14","1","0","0",
"Taavao, Angus","Mitre 10 Cup 2020",27/09/2020,01:33:04 PM,64:00,"3719","27.0","71","3405","212","99","2","0","3","4","0","0",
"Riedlinger-Kapa, Waimana","Mitre 10 Cup 2020",27/09/2020,01:31:46 PM,70:48,"4312","26.3","69","3876","371","64","2","0","16","2","0","0",
"Sosene, Mike","Mitre 10 Cup 2020",27/09/2020,01:31:51 PM,32:47,"1876","25.6","58","1804","67","3","1","0","11","0","0","0",
"Apisai, Leni","Mitre 10 Cup 2020",27/09/2020,01:31:10 PM,51:11,"2786","23.4","44","2707","64","14","0","0","13","0","0","0",
"Plummer, Harry","Mitre 10 Cup 2020",27/09/2020,03:14:06 PM,23:59,"1451","26.4","38","1325","89","31","6","0","5","1","0","0",
"Renata, Marcel","Mitre 10 Cup 2020",27/09/2020,01:31:27 PM,32:47,"1891","20.2","36","1859","31","0","0","0","8","0","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",27/09/2020,01:31:01 PM,51:06,"2877","31.4","35","2788","48","25","13","2","9","1","1","0",
"Tuipolotu, Sione","Mitre 10 Cup 2020",27/09/2020,03:19:37 PM,23:59,"1190","23.3","27","1059","107","23","0","0","7","0","0","0",
"Lay, James","Mitre 10 Cup 2020",27/09/2020,01:31:21 PM,23:59,"1371","18.2","27","1361","10","0","0","0","3","0","0","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",27/09/2020,03:20:15 PM,13:45,"893","27.1","9","818","41","26","7","0","2","2","0","0",
Avg,**,**,**,60:26,"3799","27.6","74","3426","220","98","42","12","13","3","1","0",
Lowest,**,**,**,13:45,"893","18.2","9","818","10","0","0","0","2","0","0","0",
Highest,**,**,**,86:41,"6674","33.2","190","5776","584","299","162","95","28","11","5","3",
