VX View: Training Report (2020-10-10 to 2020-10-10)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Manu, Tumua","Mitre 10 Cup 2020",10/10/2020,01:14:54 PM,99:13,"6701","31.1","152","5968","388","228","108","9","20","7","3","1",
"Faiane, TJ","Mitre 10 Cup 2020",10/10/2020,01:14:51 PM,99:13,"6299","29.0","151","5504","537","217","39","1","23","6","1","0",
"Choat, Adrian","Mitre 10 Cup 2020",10/10/2020,01:14:37 PM,94:24,"5742","27.0","139","5267","321","141","12","0","32","7","0","0",
"Scraffton, Scott","Mitre 10 Cup 2020",10/10/2020,01:14:38 PM,99:13,"5908","27.9","132","5593","211","79","26","0","25","3","1","0",
"Plummer, Harry","Mitre 10 Cup 2020",10/10/2020,01:20:18 PM,90:15,"5473","27.4","122","4647","590","213","23","0","7","8","0","0",
"Riedlinger-Kapa, Waimana","Mitre 10 Cup 2020",10/10/2020,01:14:42 PM,99:13,"5749","31.5","119","5379","291","56","11","10","27","1","0","1",
"Whetton, Jack","Mitre 10 Cup 2020",10/10/2020,01:14:34 PM,90:15,"5131","25.4","118","4853","213","61","4","0","20","3","0","0",
"Gibson, Blake","Mitre 10 Cup 2020",10/10/2020,01:14:37 PM,90:15,"5339","30.6","113","4868","287","142","29","12","32","4","1","0",
"Apisai, Leni","Mitre 10 Cup 2020",10/10/2020,01:14:32 PM,90:15,"5338","28.3","105","5090","177","63","7","0","27","3","0","0",
"Rayasi, Salesi","Mitre 10 Cup 2020",10/10/2020,01:14:46 PM,99:13,"6338","33.2","102","5450","375","257","225","29","15","8","7","1",
"Lam, AJ","Mitre 10 Cup 2020",10/10/2020,01:14:56 PM,99:13,"6200","33.3","93","5392","378","244","97","89","21","6","2","2",
"Renata, Marcel","Mitre 10 Cup 2020",10/10/2020,01:14:31 PM,80:49,"4398","25.7","84","4197","170","29","1","0","18","1","0","0",
"Trainor, Jordan","Mitre 10 Cup 2020",10/10/2020,01:14:58 PM,67:22,"4465","33.3","81","3892","199","200","99","69","13","9","1","3",
"Funaki, Taufa","Mitre 10 Cup 2020",10/10/2020,01:14:43 PM,67:22,"3776","29.9","78","3458","244","43","28","2","5","2","1","0",
"Lay, James","Mitre 10 Cup 2020",10/10/2020,01:14:29 PM,69:55,"3960","24.1","58","3806","131","23","0","0","10","0","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",10/10/2020,01:14:49 PM,31:43,"1700","23.3","34","1590","88","22","0","0","4","0","0","0",
"Vikena, Soane","Mitre 10 Cup 2020",10/10/2020,01:15:21 PM,15:01,"958","22.7","33","831","117","10","0","0","5","0","0","0",
"Fepuleai, Marco","Mitre 10 Cup 2020",10/10/2020,01:15:20 PM,31:43,"1476","24.0","31","1383","68","25","0","0","7","0","0","0",
"Jones, Niko","Mitre 10 Cup 2020",10/10/2020,03:31:43 PM,15:01,"816","24.6","16","746","58","12","0","0","7","2","0","0",
Avg,**,**,**,75:14,"4514","28.0","93","4101","255","109","37","12","17","4","1","0",
Lowest,**,**,**,15:01,"816","22.7","16","746","58","10","0","0","4","0","0","0",
Highest,**,**,**,99:13,"6701","33.3","152","5968","590","257","225","89","32","9","7","3",
