VX View: Training Report (2020-11-07 to 2020-11-07)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Adams, Jarred","Mitre 10 Cup 2020",7/11/2020,02:27:49 PM,77:53,"4667","32.9","97","4333","169","101","57","6","29","2","1","1",
"Choat, Adrian","Mitre 10 Cup 2020",7/11/2020,09:54:16 AM,57:08,"3883","29.0","36","1877","821","556","628","2","0","12","12","0",
"Dalzell, Hamish","Mitre 10 Cup 2020",7/11/2020,01:05:00 PM,97:23,"6056","26.6","143","5534","393","112","16","0","31","4","0","0",
"Ekuasi, Vaiolini","Mitre 10 Cup 2020",7/11/2020,09:55:54 AM,67:34,"3844","31.5","41","1826","794","481","688","54","0","6","18","1",
"Fepuleai, Marco","Mitre 10 Cup 2020",7/11/2020,01:05:44 PM,34:56,"2434","27.9","55","2330","75","23","5","0","10","1","0","0",
"Finau, Inga","Mitre 10 Cup 2020",7/11/2020,09:52:40 AM,56:20,"3414","28.8","34","1521","719","537","637","0","0","13","11","0",
"Funaki, Taufa","Mitre 10 Cup 2020",7/11/2020,09:52:34 AM,70:41,"4133","31.1","37","2050","763","420","813","87","0","4","22","1",
"Hallem Ewes, Liam","Mitre 10 Cup 2020",7/11/2020,01:05:24 PM,77:35,"5010","30.6","109","4592","305","78","33","2","18","2","1","0",
"Hickey, Simon","Mitre 10 Cup 2020",7/11/2020,01:05:28 PM,98:07,"7332","33.2","201","6240","684","290","72","45","14","9","2","2",
"Jones, Niko","Mitre 10 Cup 2020",7/11/2020,01:05:22 PM,89:31,"5296","32.9","137","4775","343","131","38","10","29","5","1","1",
"Kalapu, Felix","Mitre 10 Cup 2020",7/11/2020,01:05:31 PM,19:29,"1320","27.1","40","1182","79","51","8","0","5","3","0","0",
"Lam, AJ","Mitre 10 Cup 2020",7/11/2020,01:05:37 PM,71:37,"4328","33.1","57","3812","249","150","80","36","10","6","3","2",
"Lay, James","Mitre 10 Cup 2020",7/11/2020,01:05:18 PM,66:08,"3781","24.0","58","3533","212","36","0","0","9","0","0","0",
"Manu, Tumua","Mitre 10 Cup 2020",7/11/2020,01:05:50 PM,200:56,"3823","25.0","65","3708","87","26","2","0","5","1","0","0",
"Peita, Terrell","Mitre 10 Cup 2020",7/11/2020,01:05:50 PM,22:42,"1428","24.2","40","1347","72","10","0","0","4","0","0","0",
"Plummer, Harry","Mitre 10 Cup 2020",7/11/2020,01:05:06 PM,97:23,"7580","30.7","185","6128","1001","373","71","6","29","15","2","0",
"Rayasi, Salesi","Mitre 10 Cup 2020",7/11/2020,01:05:18 PM,97:23,"6171","32.9","110","5452","332","159","179","48","15","4","6","3",
"Riedlinger-Kapa, Waimana","Mitre 10 Cup 2020",7/11/2020,01:05:59 PM,207:59,"4260","31.1","69","3876","176","144","49","14","5","5","2","1",
"Riedlinger-Kapa, Waimana","Mitre 10 Cup 2020",7/11/2020,09:52:37 AM,58:23,"3841","29.7","37","1764","809","390","854","24","0","5","21","0",
"Ruru, Jonathon","Mitre 10 Cup 2020",7/11/2020,01:05:52 PM,62:16,"5164","27.3","117","4510","485","148","21","0","9","6","0","0",
"Scraffton, Scott","Mitre 10 Cup 2020",7/11/2020,09:51:23 AM,57:19,"4616","25.1","33","3267","850","498","1","0","0","1","0","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",7/11/2020,01:05:10 PM,90:08,"6497","31.1","126","5722","426","235","107","8","19","5","6","0",
"Taavao, Angus","Mitre 10 Cup 2020",7/11/2020,01:05:43 PM,97:23,"6165","29.1","160","5317","502","308","37","2","23","10","1","0",
"Telea, Tanielu","Mitre 10 Cup 2020",7/11/2020,01:05:31 PM,97:23,"6642","31.1","133","5710","454","277","158","41","18","7","8","1",
"Trainor, Jordan","Mitre 10 Cup 2020",7/11/2020,09:52:55 AM,55:39,"4304","30.1","40","2134","849","473","808","40","0","8","17","1",
"Tufuga, Presley","Mitre 10 Cup 2020",7/11/2020,01:05:13 PM,97:23,"5984","32.9","146","5276","456","174","51","27","26","5","0","2",
"Tuipolotu, Sione","Mitre 10 Cup 2020",7/11/2020,01:05:09 PM,14:49,"933","24.9","15","901","28","3","1","0","1","0","0","0",
"Tusitala, Danny","Mitre 10 Cup 2020",7/11/2020,01:05:59 PM,35:19,"2687","31.1","54","2326","156","142","49","15","5","5","2","1",
"Vikena, Soane","Mitre 10 Cup 2020",7/11/2020,01:05:31 PM,7:21,"497","24.0","10","415","61","21","0","0","2","0","0","0",
"Whetton, Jack","Mitre 10 Cup 2020",7/11/2020,09:52:01 AM,55:57,"4743","23.3","44","3306","747","691","0","0","0","0","0","0",
Avg,**,**,**,74:40,"4361","29.1","81","3492","437","235","182","16","11","5","5","1",
Lowest,**,**,**,7:21,"497","23.3","10","415","28","3","0","0","0","0","0","0",
Highest,**,**,**,207:59,"7580","33.2","201","6240","1001","691","854","87","31","15","22","3",
