VX View: Training Report (2020-11-21 to 2020-11-21)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 Cup 2020",21/11/2020,01:29:38 PM,87:07,"6531","33.6","148","5621","588","213","78","28","12","10","2","1",
"Tufuga, Presley","Mitre 10 Cup 2020",21/11/2020,01:29:24 PM,87:07,"5929","28.4","146","5172","550","180","26","0","6","4","1","0",
"Manu, Tumua","Mitre 10 Cup 2020",21/11/2020,01:29:52 PM,87:07,"6523","33.2","137","5518","513","297","155","40","21","8","6","2",
"Ruru, Jonathon","Mitre 10 Cup 2020",21/11/2020,01:29:44 PM,76:21,"6277","29.2","133","5247","726","245","58","1","8","3","2","0",
"Telea, Tanielu","Mitre 10 Cup 2020",21/11/2020,01:29:47 PM,76:21,"5814","31.0","129","5110","393","227","66","17","19","11","2","0",
"Choat, Adrian","Mitre 10 Cup 2020",21/11/2020,01:28:12 PM,87:07,"5510","27.9","117","5105","244","141","18","0","20","4","1","0",
"Taavao, Angus","Mitre 10 Cup 2020",21/11/2020,01:27:08 PM,71:47,"4649","29.3","109","4048","390","164","45","2","13","5","1","0",
"Scraffton, Scott","Mitre 10 Cup 2020",21/11/2020,01:29:39 PM,87:00,"5456","25.5","100","5098","233","121","3","0","25","2","0","0",
"Dalzell, Hamish","Mitre 10 Cup 2020",21/11/2020,01:29:22 PM,61:56,"4080","27.8","92","3693","287","85","15","0","10","2","1","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",21/11/2020,01:29:35 PM,87:00,"5969","33.0","90","5339","333","152","86","58","10","4","1","2",
"Lam, AJ","Mitre 10 Cup 2020",21/11/2020,01:29:49 PM,83:13,"5347","32.3","84","4687","373","205","64","15","4","9","2","1",
"Rayasi, Salesi","Mitre 10 Cup 2020",21/11/2020,01:30:09 PM,87:07,"5692","33.4","78","4772","338","318","139","123","14","12","3","5",
"Adams, Jarred","Mitre 10 Cup 2020",21/11/2020,01:26:00 PM,76:21,"4706","26.6","73","4451","197","53","5","0","14","2","0","0",
"Sosene, Mike","Mitre 10 Cup 2020",21/11/2020,01:29:35 PM,31:47,"2002","23.1","60","1893","81","28","0","0","11","0","0","0",
"Apisai, Leni","Mitre 10 Cup 2020",21/11/2020,01:26:55 PM,52:31,"3354","24.8","56","3197","107","50","0","0","10","0","0","0",
"Tuipolotu, Sione","Mitre 10 Cup 2020",21/11/2020,01:28:59 PM,71:01,"4383","30.5","42","4130","152","67","27","6","18","1","2","0",
"Whetton, Jack","Mitre 10 Cup 2020",21/11/2020,01:29:30 PM,26:05,"1727","27.4","26","1545","109","49","24","0","7","2","1","0",
"Tusitala, Danny","Mitre 10 Cup 2020",21/11/2020,03:29:20 PM,13:29,"762","29.2","21","672","49","10","30","1","7","0","1","0",
"Trainor, Jordan","Mitre 10 Cup 2020",21/11/2020,03:26:49 PM,16:00,"646","23.1","14","569","66","10","0","0","2","0","0","0",
"Paea, Fatongia","Mitre 10 Cup 2020",21/11/2020,03:26:10 PM,16:39,"676","22.9","12","616","52","8","0","0","6","0","0","0",
"Hickey, Simon","Mitre 10 Cup 2020",21/11/2020,03:27:35 PM,15:14,"924","27.6","6","815","40","53","16","0","1","2","1","0",
Avg,**,**,**,61:49,"4141","28.6","80","3681","277","127","41","14","11","4","1","1",
Lowest,**,**,**,13:29,"646","22.9","6","569","40","8","0","0","1","0","0","0",
Highest,**,**,**,87:07,"6531","33.6","148","5621","726","318","155","123","25","12","6","5",
