VX View: Training Report (2020-10-17 to 2020-10-17)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Ruru, Jonathon","Mitre 10 Cup 2020",17/10/2020,03:48:57 PM,95:37,"7626","29.7","186","6510","784","298","32","1","9","9","0","0",
"Plummer, Harry","Mitre 10 Cup 2020",17/10/2020,03:51:51 PM,100:57,"6865","32.2","165","5982","555","197","103","25","8","8","3","1",
"Manu, Tumua","Mitre 10 Cup 2020",17/10/2020,03:55:24 PM,100:57,"6766","32.9","131","5821","387","312","184","61","19","11","6","3",
"Gibson, Blake","Mitre 10 Cup 2020",17/10/2020,03:48:52 PM,84:51,"5518","28.1","128","4719","552","237","11","0","18","4","0","0",
"Choat, Adrian","Mitre 10 Cup 2020",17/10/2020,03:44:15 PM,100:57,"5530","25.5","111","5146","305","77","2","0","22","2","0","0",
"Lam, AJ","Mitre 10 Cup 2020",17/10/2020,03:55:28 PM,100:57,"6154","32.8","105","5607","293","148","86","19","13","4","3","1",
"Faiane, TJ","Mitre 10 Cup 2020",17/10/2020,03:52:13 PM,66:02,"4641","30.6","96","3965","419","202","52","2","32","6","1","0",
"Renata, Marcel","Mitre 10 Cup 2020",17/10/2020,03:42:22 PM,68:04,"3886","24.1","93","3767","106","13","0","0","16","0","0","0",
"Rayasi, Salesi","Mitre 10 Cup 2020",17/10/2020,03:52:04 PM,100:57,"6314","32.9","92","5396","393","293","175","55","12","9","8","2",
"Sullivan, Zarn","Mitre 10 Cup 2020",17/10/2020,03:55:30 PM,70:45,"4770","31.7","88","4281","230","164","84","12","2","3","3","0",
"Whetton, Jack","Mitre 10 Cup 2020",17/10/2020,03:44:17 PM,48:52,"3412","28.0","77","3076","211","101","23","0","11","2","1","0",
"Apisai, Leni","Mitre 10 Cup 2020",17/10/2020,03:42:19 PM,68:04,"3792","22.6","64","3711","76","5","0","0","25","0","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",17/10/2020,03:58:39 PM,55:15,"2676","26.0","57","2582","49","44","1","0","7","2","0","0",
"Telea, Tanielu","Mitre 10 Cup 2020",17/10/2020,05:45:25 PM,39:46,"2291","31.1","55","1947","167","128","44","6","11","4","2","0",
"Lay, James","Mitre 10 Cup 2020",17/10/2020,03:41:20 PM,42:59,"3010","24.9","55","2827","158","26","1","0","10","1","0","0",
"Riedlinger-Kapa, Waimana","Mitre 10 Cup 2020",17/10/2020,03:48:57 PM,116:05,"2525","28.1","41","2274","149","71","30","0","14","3","1","0",
"Fepuleai, Marco","Mitre 10 Cup 2020",17/10/2020,03:58:57 PM,39:46,"1740","27.3","38","1628","84","18","10","0","4","1","0","0",
"Sosene, Mike","Mitre 10 Cup 2020",17/10/2020,03:58:52 PM,39:46,"1786","24.3","36","1695","72","19","0","0","7","1","0","0",
"Hickey, Simon","Mitre 10 Cup 2020",17/10/2020,05:56:20 PM,16:39,"1458","28.7","36","1152","184","87","35","0","5","3","1","0",
"Dalzell, Hamish","Mitre 10 Cup 2020",17/10/2020,05:53:45 PM,21:09,"1355","28.3","31","1265","60","9","22","0","5","0","1","0",
"Scraffton, Scott","Mitre 10 Cup 2020",17/10/2020,03:44:41 PM,63:45,"500","23.5","12","461","36","3","0","0","2","0","0","0",
"Tusitala, Danny","Mitre 10 Cup 2020",17/10/2020,05:56:03 PM,10:28,"540","29.1","2","496","25","9","9","2","3","0","1","0",
Avg,**,**,**,66:01,"3780","28.3","77","3378","241","112","41","8","12","3","1","0",
Lowest,**,**,**,10:28,"500","22.6","2","461","25","3","0","0","2","0","0","0",
Highest,**,**,**,116:05,"7626","32.9","186","6510","784","312","184","61","32","11","8","3",
