VX View: Training Report (2020-10-31 to 2020-10-31)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 Cup 2020",31/10/2020,06:00:16 PM,96:11,"6930","30.7","183","5801","705","287","119","4","18","13","3","0",
"Manu, Tumua","Mitre 10 Cup 2020",31/10/2020,06:03:34 PM,96:11,"6939","32.1","153","6041","446","231","165","53","6","8","5","2",
"Ruru, Jonathon","Mitre 10 Cup 2020",31/10/2020,06:05:34 PM,79:52,"6524","32.9","151","5631","544","269","46","32","12","8","0","1",
"Gibson, Blake","Mitre 10 Cup 2020",31/10/2020,06:09:45 PM,96:11,"5973","27.3","116","5244","492","222","15","0","18","6","1","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",31/10/2020,05:59:13 PM,78:04,"5706","28.5","113","5066","405","181","52","0","12","6","2","0",
"Scraffton, Scott","Mitre 10 Cup 2020",31/10/2020,06:14:15 PM,96:11,"5152","32.4","90","4862","199","64","17","9","16","2","0","1",
"Tuipolotu, Sione","Mitre 10 Cup 2020",31/10/2020,06:13:42 PM,96:11,"5486","26.6","87","5177","228","73","7","0","28","3","0","0",
"Rayasi, Salesi","Mitre 10 Cup 2020",31/10/2020,06:06:20 PM,96:11,"6262","33.1","86","5364","294","298","247","59","15","7","8","3",
"Dalzell, Hamish","Mitre 10 Cup 2020",31/10/2020,06:08:50 PM,78:57,"4698","28.8","84","4388","254","48","8","0","22","0","1","0",
"Lam, AJ","Mitre 10 Cup 2020",31/10/2020,06:07:05 PM,96:11,"6216","32.1","81","5357","434","214","164","48","11","4","5","3",
"Lay, James","Mitre 10 Cup 2020",31/10/2020,06:07:55 PM,63:22,"3852","22.2","72","3717","128","8","0","0","8","0","0","0",
"Choat, Adrian","Mitre 10 Cup 2020",31/10/2020,06:11:40 PM,56:02,"3479","25.8","67","3121","259","95","4","0","8","2","0","0",
"Renata, Marcel","Mitre 10 Cup 2020",31/10/2020,06:01:30 PM,63:18,"3468","26.9","66","3353","82","15","17","0","11","0","1","0",
"Apisai, Leni","Mitre 10 Cup 2020",31/10/2020,06:02:33 PM,70:55,"4110","28.6","59","3921","128","38","22","0","18","1","1","0",
"Faiane, TJ","Mitre 10 Cup 2020",31/10/2020,06:10:36 PM,41:04,"2709","33.0","49","2481","130","63","20","16","15","3","0","1",
"Vikena, Soane","Mitre 10 Cup 2020",31/10/2020,06:04:37 PM,21:30,"1362","23.0","38","1189","150","23","0","0","12","0","0","0",
"Fepuleai, Marco","Mitre 10 Cup 2020",31/10/2020,06:12:33 PM,28:46,"1587","24.7","29","1514","57","16","0","0","4","1","0","0",
"Hallem Ewes, Liam","Mitre 10 Cup 2020",31/10/2020,08:23:01 PM,13:10,"1049","23.3","25","837","185","27","0","0","1","0","0","0",
"Taavao, Angus","Mitre 10 Cup 2020",31/10/2020,06:15:08 PM,137:55,"2075","23.5","22","2029","32","13","0","0","9","0","0","0",
"Tusitala, Danny","Mitre 10 Cup 2020",31/10/2020,08:05:37 PM,13:05,"1080","30.9","16","778","144","72","77","10","3","1","3","0",
"Cobb, Joel","Mitre 10 Cup 2020",31/10/2020,08:23:37 PM,4:45,"447","30.0","2","323","55","40","24","5","3","1","0","1",
Avg,**,**,**,67:48,"4053","28.4","76","3628","255","109","48","11","12","3","1","1",
Lowest,**,**,**,4:45,"447","22.2","2","323","32","8","0","0","1","0","0","0",
Highest,**,**,**,137:55,"6939","33.1","183","6041","705","298","247","59","28","13","8","3",
