VX View: Training Report (2020-09-20 to 2020-09-20)


Training Report
Athlete,Team,Date,Start Time,Duration  Total (min:sec),Distance  Total (m),Speed Max (km/h),Hi Int Acceleration,DistanceSpeed Zone 1  (m),DistanceSpeed Zone 2  (m),DistanceSpeed Zone 3  (m),DistanceSpeed Zone 4  (m),DistanceSpeed Zone 5  (m),Body ImpactsBody Impacts Zone Total (num),SprintsSprints Zone 3 (num),SprintsSprints Zone 4 (num),SprintsSprints Zone 5 (num),
"Plummer, Harry","Mitre 10 Cup 2020",20/09/2020,04:08:02 PM,104:16,"6899","29.0","166","6045","674","146","32","2","18","4","1","0",
"Faiane, TJ","Mitre 10 Cup 2020",20/09/2020,04:09:19 PM,104:16,"7268","31.1","154","6336","583","274","59","18","33","10","1","1",
"Choat, Adrian","Mitre 10 Cup 2020",20/09/2020,04:09:53 PM,104:16,"5992","32.9","140","5457","292","205","25","13","31","3","1","1",
"Trainor, Jordan","Mitre 10 Cup 2020",20/09/2020,04:09:32 PM,94:31,"6754","33.2","136","5733","465","252","205","98","20","5","7","6",
"Ioane, Rieko","Mitre 10 Cup 2020",20/09/2020,04:09:08 PM,104:16,"6675","35.1","136","5856","424","192","97","63","13","6","2","2",
"Whetton, Jack","Mitre 10 Cup 2020",20/09/2020,04:10:44 PM,94:31,"5587","27.1","125","5303","194","88","3","0","35","5","0","0",
"Ruru, Jonathon","Mitre 10 Cup 2020",20/09/2020,04:09:35 PM,74:48,"5554","30.4","123","4926","451","121","42","15","11","3","3","0",
"Clarke, Caleb","Mitre 10 Cup 2020",20/09/2020,04:08:08 PM,104:16,"6233","33.4","120","5587","297","216","102","29","17","11","4","1",
"Scraffton, Scott","Mitre 10 Cup 2020",20/09/2020,04:10:44 PM,104:16,"5992","30.7","114","5614","201","127","39","11","29","3","1","1",
"Sotutu, Hoskins","Mitre 10 Cup 2020",20/09/2020,04:10:04 PM,104:16,"5687","27.1","94","5348","250","83","4","0","13","2","0","0",
"Lam, AJ","Mitre 10 Cup 2020",20/09/2020,04:09:26 PM,94:31,"5438","33.0","90","4771","298","180","120","68","7","4","4","3",
"Hodgmen, Alex","Mitre 10 Cup 2020",20/09/2020,04:10:19 PM,65:10,"4106","25.6","71","3873","168","62","2","0","15","3","0","0",
"Ioane, Akira","Mitre 10 Cup 2020",20/09/2020,04:09:46 PM,65:10,"3788","24.0","70","3563","185","40","0","0","10","0","0","0",
"Tuungafasi, Ofa","Mitre 10 Cup 2020",20/09/2020,04:10:33 PM,65:10,"3699","31.3","67","3491","146","36","22","3","9","1","1","0",
"Sosene, Mike","Mitre 10 Cup 2020",20/09/2020,04:09:16 PM,52:06,"2615","23.8","66","2522","68","25","0","0","16","1","0","0",
"Tusitala, Danny","Mitre 10 Cup 2020",20/09/2020,05:51:00 PM,37:24,"2319","26.2","49","2074","183","54","8","0","6","3","0","0",
"Apisai, Leni","Mitre 10 Cup 2020",20/09/2020,04:10:22 PM,65:10,"3655","24.7","42","3549","60","44","0","0","12","2","0","0",
"Taavao, Angus","Mitre 10 Cup 2020",20/09/2020,04:08:18 PM,52:06,"2074","24.2","37","1942","111","22","0","0","6","0","0","0",
"Adams, Jarred","Mitre 10 Cup 2020",20/09/2020,04:08:27 PM,52:06,"2025","22.9","34","1978","32","16","0","0","10","0","0","0",
"Hallem Ewes, Liam","Mitre 10 Cup 2020",20/09/2020,05:49:12 PM,7:27,"534","25.5","15","490","26","16","2","0","0","1","0","0",
"Manu, Tumua","Mitre 10 Cup 2020",20/09/2020,05:51:42 PM,15:39,"997","28.5","14","898","41","36","23","0","3","0","2","0",
"Sullivan, Zarn","Mitre 10 Cup 2020",20/09/2020,05:50:21 PM,7:27,"529","23.8","10","486","27","16","0","0","2","0","0","0",
Avg,**,**,**,71:30,"4292","28.3","85","3902","235","102","36","15","14","3","1","1",
Lowest,**,**,**,7:27,"529","22.9","10","486","26","16","0","0","0","0","0","0",
Highest,**,**,**,104:16,"7268","35.1","166","6336","674","274","205","98","35","11","7","6",
