Numbers indicate position played for that player on that date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 means they did not play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 means they were named as a replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,18/08/2018,26/08/2018,30/08/2018,7/09/2018,16/09/2018,22/09/2018,28/09/2018,4/10/2018,10/10/2018,14/10/2018,20/10/2018,27/10/2018,9/08/2019,15/08/2019,24/08/2019,31/08/2019,8/09/2019,14/09/2019,22/09/2019,27/09/2019,5/10/2019,11/10/2019,19/10/2019,12/09/2020,20/09/2020,27/09/2020,2/10/2020,10/10/2020,17/10/2020,24/10/2020,31/10/2020,7/11/2020,15/11/2020,21/11/2020,28/11/2020
"Abel, Robbie",0,2,2,2,2,2,16,2,16,2,2,2,2,0,2,2,16,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Jarred",1,16,16,16,0,16,0,0,16,16,16,16,0,0,16,16,16,1,0,16,16,16,16,16,16,1,1,16,16,16,16,16,1,1,16
"Apisai, Leni",0,0,0,0,0,0,0,0,0,0,0,0,16,2,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,0,2,2
"Choat, Adrian",0,0,0,0,0,0,16,0,7,0,7,7,16,0,0,0,16,16,6,7,7,7,7,7,7,6,6,6,6,6,6,0,0,7,6
"Clarke, Caleb",0,0,16,0,0,0,14,16,16,16,16,16,11,11,14,11,14,14,14,11,14,0,14,11,11,0,0,0,0,0,0,0,0,0,0
"Cobb, Joel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,14,0,0
"Dabek, Aleks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalzell, Hamish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,5,5,4,5,5,16
"Dunshea, Lyndon",0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"Ekuasi, Vaiolini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faiane, TJ",12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0,0
"Fatialofa, Michael",0,0,0,0,0,0,0,4,5,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
